timestamp,BME680_temp,BME680_pressure,BME680_humidity,BME680_gas,SGP30_5_CO2,SGP30_5_TVOC,SGP30_6_CO2,SGP30_6_TVOC,SGP30_7_CO2,SGP30_7_TVOC,SGP30_8_CO2,SGP30_8_TVOC,SGP30_9_CO2,SGP30_9_TVOC,SGP30_10_CO2,SGP30_10_TVOC
0,33.71,1024.87,31.94,19864.04,26074,16221,28087,19775,15929,13103,27549,15861,2744,5505,25881,14432
1000,33.71,1024.87,31.95,19622.93,30270,19356,28100,19566,12221,11899,23579,14443,2784,5335,28018,15051
2000,33.71,1024.87,31.96,19369.74,35222,21622,27549,19217,10792,11066,18479,12991,2546,5189,32119,15704
3000,33.71,1024.86,31.96,19175.34,38623,23539,26377,18102,9640,10087,12042,10695,2307,5024,36833,16603
4000,33.71,1024.86,31.98,19157.86,38355,23574,24682,16278,8684,9456,9066,8623,2550,5204,39906,18032
5000,33.71,1024.87,31.99,19245.58,34984,20995,22559,15692,8209,9243,7138,7115,3264,5601,42442,19356
6001,33.71,1024.87,31.99,19387.61,29733,19496,21084,15242,8151,9175,5672,6699,3775,5866,44441,19984
7001,33.71,1024.86,31.98,19568.12,27480,18102,20119,15062,9020,9614,4879,6398,3856,5806,45844,20751
8001,33.71,1024.87,31.98,19770.61,28473,18241,19720,14927,10109,10391,4418,6097,3407,5520,46828,21518
9001,33.71,1024.87,31.98,20053.58,32298,20820,18975,14882,11035,10920,3419,5224,2693,5009,47186,21518
