timestamp,BME680_temp,BME680_pressure,BME680_humidity,BME680_gas,SGP30_5_CO2,SGP30_5_TVOC,SGP30_6_CO2,SGP30_6_TVOC,SGP30_7_CO2,SGP30_7_TVOC,SGP30_8_CO2,SGP30_8_TVOC,SGP30_9_CO2,SGP30_9_TVOC,SGP30_10_CO2,SGP30_10_TVOC
0,32.37,1014.17,33.38,48641.02,57330,33299,57330,28559,28362,14409,3331,3941,12359,7329,2570,3825
1000,32.37,1014.17,33.31,49941.39,57330,34171,57330,27548,31224,14972,4722,4733,15612,8106,3844,4573
2000,32.37,1014.17,33.25,50481.21,57330,33683,57330,26432,35013,15400,8064,5811,16839,8466,4290,4878
3000,32.38,1014.17,33.23,50602.76,57330,32323,57330,26084,36804,15670,10126,6303,16356,8319,3407,4262
4000,32.38,1014.17,33.23,50030.55,57330,27687,57330,26502,39578,16120,11238,6649,12814,7183,1794,3208
5000,32.38,1014.16,33.21,49210.5,54824,25910,56912,25422,41279,16498,19347,9164,10665,6659,1917,3198
6001,32.38,1014.16,33.23,48002.2,53511,25282,54764,24515,41547,16916,26557,11685,10051,6508,3446,4247
7001,32.38,1014.15,33.26,46541.79,54615,26816,50438,22040,39847,16098,34805,13295,9923,6523,4989,5275
8001,32.39,1014.15,33.28,44569.7,57330,28106,43785,19356,38295,15805,41667,14533,9084,6232,7439,6042
9001,32.39,1014.18,33.32,43064.29,57330,29012,39877,17614,37341,15805,45366,15208,7109,5726,8435,6388
