timestamp,BME680_temp,BME680_pressure,BME680_humidity,BME680_gas,SGP30_5_CO2,SGP30_5_TVOC,SGP30_6_CO2,SGP30_6_TVOC,SGP30_7_CO2,SGP30_7_TVOC,SGP30_8_CO2,SGP30_8_TVOC,SGP30_9_CO2,SGP30_9_TVOC,SGP30_10_CO2,SGP30_10_TVOC
0,33.11,1012.55,35.48,11688.83,636,296,731,516,2249,1852,4199,2314,12193,5937,2244,2503
1000,33.11,1012.55,35.46,11558.62,631,293,720,521,2263,1903,4197,2325,12069,5841,2266,2558
2000,33.11,1012.55,35.45,11445.1,635,306,721,498,2246,1880,4236,2390,12138,5891,2258,2554
3000,33.11,1012.54,35.45,11321.54,615,317,713,508,2317,1910,4278,2350,12469,5922,2271,2591
4000,33.11,1012.55,35.44,11141.14,627,322,708,505,2364,1914,4356,2387,12648,5962,2322,2614
5000,33.11,1012.55,35.42,11035.63,631,324,710,501,2403,1900,4499,2415,12511,6052,2278,2658
6001,33.11,1012.55,35.41,10954.94,642,345,712,503,2401,1919,4702,2399,12897,6082,2413,2692
7001,33.11,1012.55,35.38,10943.51,644,344,709,499,2406,1949,4943,2537,13393,6052,2489,2745
8001,33.11,1012.55,35.35,10989.38,634,351,719,508,2430,1960,5336,2611,13655,6152,2506,2748
9001,33.11,1012.55,35.34,11047.26,641,354,713,514,2477,1949,5864,2681,14109,6293,2440,2743
