timestamp,BME680_temp,BME680_pressure,BME680_humidity,BME680_gas,SGP30_5_CO2,SGP30_5_TVOC,SGP30_6_CO2,SGP30_6_TVOC,SGP30_7_CO2,SGP30_7_TVOC,SGP30_8_CO2,SGP30_8_TVOC,SGP30_9_CO2,SGP30_9_TVOC,SGP30_10_CO2,SGP30_10_TVOC
0,33.74,1024.9,29.89,15590.73,1171,1471,1665,2113,1824,1750,16025,6348,9333,5922,1802,2385
1000,33.74,1024.9,29.91,15329.18,1166,1455,1662,2129,1842,1790,16287,6428,9275,6007,1768,2330
2000,33.74,1024.9,29.91,15076.27,1152,1413,1674,2106,1860,1861,16453,6518,9078,5871,1762,2304
3000,33.75,1024.9,29.91,14863.04,1140,1372,1667,2073,1903,1866,16797,6594,9089,5947,1720,2267
4000,33.75,1024.91,29.92,14594.68,1122,1344,1649,2037,1947,1875,17073,6734,9031,5937,1703,2260
5000,33.75,1024.91,29.93,14375.07,1098,1328,1662,2106,1964,1928,17528,6814,8985,5891,1697,2219
6001,33.75,1024.91,29.91,14067.18,1082,1322,1631,2027,1998,1997,17459,6744,9043,5831,1668,2214
7001,33.75,1024.9,29.93,13772.21,1061,1300,1654,2050,2031,2020,17514,6859,8962,5912,1664,2159
8001,33.75,1024.9,29.92,13558.97,1025,1285,1630,2013,2082,2023,18052,6940,8898,5947,1662,2177
9001,33.75,1024.91,29.91,13360.72,1011,1274,1630,2071,2114,2083,17459,6829,8950,5876,1637,2168
