timestamp,BME680_temp,BME680_pressure,BME680_humidity,BME680_gas,SGP30_5_CO2,SGP30_5_TVOC,SGP30_6_CO2,SGP30_6_TVOC,SGP30_7_CO2,SGP30_7_TVOC,SGP30_8_CO2,SGP30_8_TVOC,SGP30_9_CO2,SGP30_9_TVOC,SGP30_10_CO2,SGP30_10_TVOC
0,32.97,1012.73,38.5,23481.65,10931,15141,49334,44070,48469,41421,38415,20890,27880,20298,14054,16244
1000,32.97,1012.76,38.47,23325.28,11319,15625,47574,43373,45724,39678,43337,23679,29136,21518,14881,16533
2000,32.97,1012.76,38.47,22794.02,13806,17579,47097,43234,42950,39086,45754,25805,30120,22075,14909,16812
3000,32.97,1012.76,38.47,22098.95,16191,20054,46828,42920,39727,37901,44262,25456,29583,21762,18121,20576
4000,32.97,1012.76,38.51,21292.93,20161,24271,47335,43687,38713,37064,37221,22668,27094,20263,20009,22180
5000,32.98,1012.75,38.56,20624.27,24682,29779,48290,43861,38295,37726,32537,21030,23331,16289,10937,14634
6001,32.98,1012.74,38.64,19939.42,21346,25387,47276,42990,39489,37761,32179,21099,22490,16019,7329,12248
7001,32.98,1012.74,38.73,19423.44,13227,16498,45306,42606,40026,38842,30031,20228,23455,17648,11232,15636
8001,32.98,1012.74,38.81,19053.65,13255,16916,41428,40131,39071,38284,34297,23226,27728,22528,22215,25979
9001,32.98,1012.73,38.89,18516.47,11441,15659,30001,33996,28169,31243,39220,25666,33581,25979,29375,31835
