timestamp,BME680_temp,BME680_pressure,BME680_humidity,BME680_gas,SGP30_5_CO2,SGP30_5_TVOC,SGP30_6_CO2,SGP30_6_TVOC,SGP30_7_CO2,SGP30_7_TVOC,SGP30_8_CO2,SGP30_8_TVOC,SGP30_9_CO2,SGP30_9_TVOC,SGP30_10_CO2,SGP30_10_TVOC
0,33.65,1024.85,31.8,27445.59,4057,8196,4212,10064,2315,5746,400,1344,6709,11640,7960,10605
1000,33.65,1024.85,31.79,27409.83,4226,8747,4167,9760,2007,5485,400,1298,7688,12203,7914,10379
2000,33.65,1024.85,31.79,27463.5,4413,8713,4089,9749,1681,4939,400,1260,8429,12586,7960,10593
3000,33.65,1024.84,31.78,27625.79,4518,9119,4030,9614,1154,4001,400,1196,9031,12912,8348,10875
4000,33.65,1024.85,31.78,27662.12,4727,9423,3988,9760,692,3015,400,1116,9292,13182,8782,11302
5000,33.65,1024.85,31.77,27993.4,5001,9749,3976,9760,423,2653,400,1004,9263,12991,9483,11438
6001,33.65,1024.84,31.76,28447.64,5742,10447,3956,9580,400,2387,400,817,8696,12687,10016,12000
7001,33.66,1024.84,31.75,28897.01,6414,10818,4025,9828,400,2427,400,627,7670,12000,10699,12316
8001,33.66,1024.84,31.71,29567.14,6836,11044,4015,9670,402,2664,400,552,6732,11257,11018,12687
9001,33.66,1024.84,31.69,30356.43,6848,11089,4030,9772,681,3173,400,512,6031,11100,11279,12811
