timestamp,BME680_temp,BME680_pressure,BME680_humidity,BME680_gas,SGP30_5_CO2,SGP30_5_TVOC,SGP30_6_CO2,SGP30_6_TVOC,SGP30_7_CO2,SGP30_7_TVOC,SGP30_8_CO2,SGP30_8_TVOC,SGP30_9_CO2,SGP30_9_TVOC,SGP30_10_CO2,SGP30_10_TVOC
0,33.27,1025.01,30.94,53230.22,3802,4783,6530,7633,2082,3514,400,219,400,1126,2948,4021
1000,33.27,1025.0,30.91,54051.64,3652,4738,6952,7858,1983,3374,400,208,400,1147,2901,4021
2000,33.27,1025.01,30.9,55662.18,3338,4522,7282,8286,1773,3158,400,188,400,1236,2852,3986
3000,33.27,1025.01,30.86,57371.65,2317,3780,7537,8286,1714,3098,400,165,484,1344,2918,3936
4000,33.28,1025.04,30.84,59482.61,1543,3015,7711,8376,1764,3108,400,152,636,1547,2830,3966
5000,33.28,1025.03,30.8,61709.52,1442,2971,7728,8387,1859,3269,400,138,684,1619,2752,3870
6001,33.28,1025.01,30.77,63528.28,1642,3113,7827,8680,1951,3399,400,128,632,1586,2646,3845
7001,33.28,1025.01,30.74,65254.26,1802,3299,7815,8432,2020,3464,400,117,552,1494,2523,3785
8001,33.28,1025.01,30.72,66598.37,1809,3284,7821,8511,2021,3504,400,110,473,1432,2452,3725
9001,33.29,1025.01,30.69,67453.4,1723,3088,7752,8500,1973,3454,400,110,409,1342,2322,3680
