timestamp,BME680_temp,BME680_pressure,BME680_humidity,BME680_gas,SGP30_5_CO2,SGP30_5_TVOC,SGP30_6_CO2,SGP30_6_TVOC,SGP30_7_CO2,SGP30_7_TVOC,SGP30_8_CO2,SGP30_8_TVOC,SGP30_9_CO2,SGP30_9_TVOC,SGP30_10_CO2,SGP30_10_TVOC
0,32.91,1012.66,38.7,16191.27,443,1327,46589,21343,57330,47382,57330,37064,57330,40236,7734,7734
1000,32.91,1012.65,38.69,17212.31,400,1234,16770,11381,57330,47033,57330,37866,57330,42049,11383,10571
2000,32.91,1012.65,38.65,17870.93,635,1335,9611,8466,57330,45953,57330,38946,57330,43164,15915,12079
3000,32.91,1012.64,38.62,18338.74,1285,1725,7960,7723,57330,44977,57330,39086,57330,42258,19568,13137
4000,32.91,1012.63,38.59,18306.79,1332,1683,6391,6884,57330,43443,57330,40271,57330,41317,22669,14330
5000,32.91,1012.66,38.56,17840.59,1358,1725,5232,6528,57330,43094,57330,38877,57330,40724,25936,15512
6001,32.91,1012.66,38.55,17383.15,2906,2325,4511,6047,57330,41735,57330,37134,57330,39922,30598,17474
7001,32.92,1012.66,38.56,16907.68,3264,2484,4786,6187,56405,38249,57330,36541,57330,41351,36117,20542
8001,32.92,1012.66,38.58,16626.79,1306,1806,8939,7824,45993,33055,57330,37378,57330,43164,37818,21030
9001,32.92,1012.66,38.58,16706.08,599,1313,14068,10492,39697,30302,57330,39225,57330,46998,26501,15715
