timestamp,BME680_temp,BME680_pressure,BME680_humidity,BME680_gas,SGP30_5_CO2,SGP30_5_TVOC,SGP30_6_CO2,SGP30_6_TVOC,SGP30_7_CO2,SGP30_7_TVOC,SGP30_8_CO2,SGP30_8_TVOC,SGP30_9_CO2,SGP30_9_TVOC,SGP30_10_CO2,SGP30_10_TVOC
0,31.99,1013.78,31.44,138374.99,458,8,400,0,405,6,406,0,409,4,442,10
1000,31.99,1013.78,31.44,138488.97,493,4,407,3,403,1,408,3,411,4,448,10
2000,32.0,1013.79,31.45,139061.71,503,8,425,8,405,4,408,5,406,5,438,9
3000,32.0,1013.78,31.44,138603.14,455,8,435,9,404,6,413,8,407,6,428,11
4000,32.0,1013.78,31.43,138832.04,427,10,421,8,408,9,411,5,416,7,428,8
5000,32.0,1013.77,31.45,139988.01,411,9,407,2,402,5,408,6,415,8,417,7
6001,32.0,1013.77,31.45,139988.01,403,3,412,4,411,8,412,7,418,3,406,11
7001,32.0,1013.81,31.42,140926.74,400,0,401,3,400,2,403,9,413,6,405,11
8001,32.0,1013.81,31.42,140455.81,403,0,400,1,403,9,400,2,411,3,400,10
9001,32.0,1013.8,31.4,141997.97,408,4,400,9,403,8,401,3,410,0,401,5
