timestamp,BME680_temp,BME680_pressure,BME680_humidity,BME680_gas,SGP30_5_CO2,SGP30_5_TVOC,SGP30_6_CO2,SGP30_6_TVOC,SGP30_7_CO2,SGP30_7_TVOC,SGP30_8_CO2,SGP30_8_TVOC,SGP30_9_CO2,SGP30_9_TVOC,SGP30_10_CO2,SGP30_10_TVOC
0,33.14,1012.58,34.49,12494.93,446,575,400,557,1575,2404,6622,5666,18810,11910,3181,5671
1000,33.14,1012.59,34.51,12268.82,457,596,400,538,1573,2397,6628,5681,18975,12000,3255,5631
2000,33.14,1012.59,34.5,12333.61,461,606,400,530,1561,2408,6738,5691,18548,11944,3223,5621
3000,33.14,1012.59,34.5,12645.28,471,624,400,531,1558,2424,6854,5721,18961,12000,3201,5601
4000,33.14,1012.6,34.5,13069.92,468,618,400,533,1537,2387,6865,5706,19182,12147,3134,5571
5000,33.14,1012.6,34.5,13567.72,475,623,400,519,1525,2380,7138,5806,19954,12180,3120,5555
6001,33.14,1012.59,34.49,14114.42,474,622,400,523,1526,2367,7155,5831,20533,12484,3093,5530
7001,33.14,1012.59,34.48,14717.32,475,633,400,524,1533,2404,7271,5821,20864,12462,3058,5495
8001,33.14,1012.6,34.48,15295.71,468,603,400,529,1526,2392,7468,5846,21884,12788,3049,5611
9001,33.15,1012.6,34.48,15778.0,470,630,400,517,1538,2344,7763,5871,22490,12833,2970,5465
