timestamp,BME680_temp,BME680_pressure,BME680_humidity,BME680_gas,SGP30_5_CO2,SGP30_5_TVOC,SGP30_6_CO2,SGP30_6_TVOC,SGP30_7_CO2,SGP30_7_TVOC,SGP30_8_CO2,SGP30_8_TVOC,SGP30_9_CO2,SGP30_9_TVOC,SGP30_10_CO2,SGP30_10_TVOC
0,32.98,1012.67,37.76,21554.99,400,710,36624,16707,47425,34519,42711,27862,57330,40375,10734,11089
1000,32.98,1012.66,37.85,20870.04,1851,1420,20850,12732,48708,35286,44292,28106,57330,41107,10960,11044
2000,32.98,1012.66,37.93,20746.43,9541,3750,15998,11550,49394,35356,42860,27966,57330,41595,11383,11314
3000,32.98,1012.66,37.97,20543.63,6385,3269,19995,13047,50080,35879,42502,27583,57330,39853,12138,11753
4000,32.98,1012.66,38.01,19977.33,4356,2796,27880,15535,50319,35426,41965,27234,54048,36715,15005,12417
5000,32.98,1012.66,38.07,19263.22,3714,2678,46918,23051,50766,35461,31433,20855,47634,34171,17914,13362
6001,32.98,1012.65,38.12,18386.87,3954,2711,57330,29221,50736,35461,17487,13700,43785,32149,21608,14454
7001,32.99,1012.65,38.2,17645.86,3213,2468,57330,33160,51184,35844,16094,13970,41607,31103,24255,15343
8001,32.99,1012.64,38.26,17170.13,1246,1766,57330,34659,50647,35217,21346,15591,43308,32463,24930,15343
9001,32.99,1012.65,38.34,16880.52,537,1303,57330,33857,49483,34554,21677,15411,46112,33718,19775,13723
