timestamp,BME680_temp,BME680_pressure,BME680_humidity,BME680_gas,SGP30_5_CO2,SGP30_5_TVOC,SGP30_6_CO2,SGP30_6_TVOC,SGP30_7_CO2,SGP30_7_TVOC,SGP30_8_CO2,SGP30_8_TVOC,SGP30_9_CO2,SGP30_9_TVOC,SGP30_10_CO2,SGP30_10_TVOC
0,33.65,1024.92,29.82,203236.48,400,58,400,10,400,5,400,20,401,15,400,26
1000,33.65,1024.92,29.83,202862.32,400,52,400,2,403,14,400,18,400,13,400,29
2000,33.65,1024.91,29.82,202862.32,400,55,400,9,405,5,400,19,400,10,401,33
3000,33.65,1024.91,29.82,203111.61,400,52,401,7,401,7,400,18,400,12,400,30
4000,33.65,1024.92,29.82,203111.61,400,54,405,8,403,11,403,29,400,8,400,28
5000,33.65,1024.91,29.82,203737.51,400,56,400,7,402,8,400,18,400,8,402,27
6001,33.65,1024.9,29.83,203236.48,400,56,400,9,403,7,402,23,400,10,400,31
7001,33.65,1024.91,29.81,202118.13,400,53,400,6,406,10,400,17,400,10,400,31
8001,33.65,1024.91,29.82,202489.54,400,54,401,5,400,7,400,26,400,11,400,26
9001,33.66,1024.91,29.82,203361.51,400,57,400,5,400,7,400,24,400,15,410,24
