timestamp,BME680_temp,BME680_pressure,BME680_humidity,BME680_gas,SGP30_5_CO2,SGP30_5_TVOC,SGP30_6_CO2,SGP30_6_TVOC,SGP30_7_CO2,SGP30_7_TVOC,SGP30_8_CO2,SGP30_8_TVOC,SGP30_9_CO2,SGP30_9_TVOC,SGP30_10_CO2,SGP30_10_TVOC
0,33.15,1012.6,34.43,10380.28,650,921,400,415,1424,2233,8423,6398,16742,11865,2688,5255
1000,33.15,1012.61,34.43,10370.02,663,944,400,401,1435,2254,8325,6443,16425,11663,2676,5270
2000,33.15,1012.6,34.43,10400.87,668,952,400,417,1440,2247,8389,6328,15998,11573,2710,5214
3000,33.15,1012.61,34.43,10494.54,673,970,400,412,1436,2249,8568,6408,15819,11449,2673,5235
4000,33.15,1012.61,34.42,10589.91,675,973,400,401,1440,2235,8777,6433,15488,11483,2626,5265
5000,33.15,1012.61,34.41,10579.23,680,1000,400,395,1433,2219,8892,6458,15267,11359,2614,5275
6001,33.15,1012.61,34.42,10632.85,673,1001,400,392,1429,2277,9084,6403,15061,11393,2585,5260
7001,33.15,1012.61,34.41,10643.64,666,975,400,392,1424,2265,9130,6468,14606,11359,2570,5154
8001,33.15,1012.61,34.43,10741.76,660,992,400,393,1400,2237,9199,6473,14551,11246,2575,5240
9001,33.15,1012.62,34.41,10943.51,655,995,400,389,1369,2224,9321,6523,14275,11122,2582,5194
