timestamp,BME680_temp,BME680_pressure,BME680_humidity,BME680_gas,SGP30_5_CO2,SGP30_5_TVOC,SGP30_6_CO2,SGP30_6_TVOC,SGP30_7_CO2,SGP30_7_TVOC,SGP30_8_CO2,SGP30_8_TVOC,SGP30_9_CO2,SGP30_9_TVOC,SGP30_10_CO2,SGP30_10_TVOC
0,33.28,1024.76,32.32,28680.34,10908,14544,25578,30023,16646,15512,603,1432,11881,14612,13613,13925
1000,33.28,1024.76,32.32,28524.79,8273,12282,25647,30894,16963,15715,1099,2018,12841,14983,11748,13025
2000,33.28,1024.76,32.32,28199.78,5672,10244,25592,29779,17307,15805,1739,2537,14675,15366,11064,12755
3000,33.28,1024.77,32.32,27753.35,4536,9164,25440,29779,17266,15794,2261,2928,16797,16041,11006,12597
4000,33.28,1024.76,32.33,27481.44,4621,9310,25164,29291,16535,15715,2747,3183,19472,18241,10879,12574
5000,33.28,1024.76,32.34,27057.3,5267,10154,25109,29326,15130,15220,3078,3479,21966,20855,9304,11325
6001,33.28,1024.75,32.35,26764.7,5945,10638,24613,29430,14578,15141,3385,3830,24034,21866,5945,8927
7001,33.29,1024.75,32.35,26312.77,5840,10481,24227,28977,14151,14950,3721,4001,25454,23992,3819,6920
8001,33.29,1024.75,32.35,26133.0,6182,10740,23621,28001,13503,14814,4116,4482,27218,25422,2631,6232
9001,33.29,1024.75,32.37,25701.98,7433,11719,22986,27199,12511,14499,4585,4929,28500,26746,2700,6438
