timestamp,BME680_temp,BME680_pressure,BME680_humidity,BME680_gas,SGP30_5_CO2,SGP30_5_TVOC,SGP30_6_CO2,SGP30_6_TVOC,SGP30_7_CO2,SGP30_7_TVOC,SGP30_8_CO2,SGP30_8_TVOC,SGP30_9_CO2,SGP30_9_TVOC,SGP30_10_CO2,SGP30_10_TVOC
0,32.58,1014.13,33.5,37102.2,9692,8916,37430,16394,26860,14387,57330,23435,15019,10166,400,1967
1000,32.58,1014.13,33.46,38670.83,10138,8950,35282,16244,28018,14544,57330,24864,21043,11674,400,1956
2000,32.58,1014.13,33.39,40339.26,11064,9670,33969,16053,28087,14589,57330,24968,23979,12484,432,2431
3000,32.58,1014.12,33.35,41533.89,17693,12113,31433,15692,27301,14443,57330,23574,25123,12968,1494,3514
4000,32.58,1014.12,33.31,42671.21,24172,14229,28073,14882,25964,13925,52616,20263,23745,12394,3547,5229
5000,32.58,1014.12,33.28,42976.32,28321,15152,24006,13689,23979,13407,51065,20542,22918,12586,5586,6328
6001,32.58,1014.12,33.26,42455.92,30389,15479,17349,11685,22752,12755,50140,20367,25123,13205,7919,6985
7001,32.58,1014.12,33.25,41781.36,28238,15298,12249,10166,21374,12552,46589,18973,27025,13779,9883,8252
8001,32.58,1014.12,33.25,40888.08,28473,15118,11058,9828,18548,11539,43218,16847,27645,14004,11522,9468
9001,32.58,1014.12,33.26,39880.43,27852,15040,10381,9355,11835,9490,41428,16255,28569,14308,14413,10334
