timestamp,BME680_temp,BME680_pressure,BME680_humidity,BME680_gas,SGP30_5_CO2,SGP30_5_TVOC,SGP30_6_CO2,SGP30_6_TVOC,SGP30_7_CO2,SGP30_7_TVOC,SGP30_8_CO2,SGP30_8_TVOC,SGP30_9_CO2,SGP30_9_TVOC,SGP30_10_CO2,SGP30_10_TVOC
0,33.39,1024.76,29.2,140104.67,400,15,400,38,400,37,400,47,400,21,400,0
1000,33.39,1024.77,29.2,140926.74,400,17,400,34,400,36,400,44,400,15,400,0
2000,33.39,1024.76,29.19,141400.84,400,10,400,40,400,46,400,43,400,18,400,0
3000,33.4,1024.76,29.19,141282.01,400,13,400,31,400,35,400,40,400,12,400,0
4000,33.4,1024.76,29.19,140808.71,400,12,400,32,400,36,400,38,400,13,400,0
5000,33.4,1024.75,29.18,141758.51,400,7,400,40,400,35,400,38,400,9,400,0
6001,33.4,1024.75,29.19,141997.97,400,10,400,45,400,37,400,44,400,11,400,0
7001,33.4,1024.75,29.19,141400.84,400,10,400,35,400,36,400,45,400,12,400,0
8001,33.4,1024.74,29.19,141400.84,400,4,400,36,400,34,400,43,400,14,400,1
9001,33.4,1024.77,29.2,141400.84,400,4,400,38,400,38,400,40,400,14,400,0
