timestamp,BME680_temp,BME680_pressure,BME680_humidity,BME680_gas,SGP30_5_CO2,SGP30_5_TVOC,SGP30_6_CO2,SGP30_6_TVOC,SGP30_7_CO2,SGP30_7_TVOC,SGP30_8_CO2,SGP30_8_TVOC,SGP30_9_CO2,SGP30_9_TVOC,SGP30_10_CO2,SGP30_10_TVOC
0,33.13,1012.53,34.6,11432.62,514,476,677,925,3625,3735,19403,9074,19003,11021,2025,3600
1000,33.13,1012.54,34.6,11224.61,550,495,674,933,3623,3740,18810,8984,18410,10897,2031,3605
2000,33.13,1012.54,34.62,11012.46,584,526,675,918,3635,3735,17831,8747,18272,10863,2049,3610
3000,33.13,1012.54,34.62,10932.1,634,549,677,921,3655,3825,17183,8623,17569,10875,2089,3630
4000,33.13,1012.53,34.6,11000.91,672,581,675,957,3606,3740,16425,8319,17459,10638,2060,3710
5000,33.13,1012.54,34.6,11058.91,715,626,679,941,3591,3815,15102,8162,16839,10548,2082,3670
6001,33.13,1012.54,34.6,11000.91,772,691,679,952,3633,3745,13820,7892,16439,10492,2133,3775
7001,33.13,1012.54,34.61,11024.03,829,786,686,944,3601,3735,13365,7622,15722,10244,2160,3720
8001,33.13,1012.54,34.6,10966.4,907,851,702,969,3618,3795,12331,7408,15047,10121,2204,3840
9001,33.13,1012.53,34.6,11094.0,989,942,705,982,3581,3790,11591,6960,14330,9997,2261,3805
