timestamp,BME680_temp,BME680_pressure,BME680_humidity,BME680_gas,SGP30_5_CO2,SGP30_5_TVOC,SGP30_6_CO2,SGP30_6_TVOC,SGP30_7_CO2,SGP30_7_TVOC,SGP30_8_CO2,SGP30_8_TVOC,SGP30_9_CO2,SGP30_9_TVOC,SGP30_10_CO2,SGP30_10_TVOC
0,33.45,1024.93,30.07,198596.81,403,69,400,8,400,14,400,25,400,23,403,37
1000,33.45,1024.93,30.05,198835.71,400,66,400,10,400,17,400,16,400,23,405,44
2000,33.45,1024.93,30.04,200524.28,400,67,400,2,400,18,400,16,400,24,400,43
3000,33.45,1024.93,30.03,199676.43,400,63,400,12,400,15,400,11,400,24,400,44
4000,33.45,1024.93,30.03,199676.43,406,75,400,15,400,18,400,12,400,22,400,44
5000,33.45,1024.92,30.03,200889.86,400,70,400,14,400,17,400,16,400,28,400,47
6001,33.46,1024.92,30.02,200160.04,400,68,400,6,400,15,400,9,400,22,400,42
7001,33.46,1024.93,30.02,200402.72,400,70,400,7,400,11,400,8,400,23,400,42
8001,33.46,1024.95,30.02,200524.28,400,66,401,13,400,12,400,10,400,26,400,44
9001,33.46,1024.95,30.0,201134.32,404,73,408,11,400,13,400,11,400,25,400,43
