timestamp,BME680_temp,BME680_pressure,BME680_humidity,BME680_gas,SGP30_5_CO2,SGP30_5_TVOC,SGP30_6_CO2,SGP30_6_TVOC,SGP30_7_CO2,SGP30_7_TVOC,SGP30_8_CO2,SGP30_8_TVOC,SGP30_9_CO2,SGP30_9_TVOC,SGP30_10_CO2,SGP30_10_TVOC
0,32.73,1012.76,37.37,24940.23,400,590,2833,4011,4661,6152,31732,15659,20271,12496,4455,6052
1000,32.74,1012.74,37.28,27162.1,400,522,2960,3971,3775,5550,28514,15332,16260,11381,5238,6523
2000,32.74,1012.74,37.2,28956.68,400,520,2985,3996,3785,5591,24958,13768,14702,11100,8406,8049
3000,32.74,1012.74,37.13,29924.63,400,536,3267,4096,4086,5821,21815,13025,14785,11179,10184,9321
4000,32.75,1012.73,37.07,30160.59,400,602,3532,4181,4482,6077,19899,12484,14482,11179,9576,9107
5000,32.75,1012.72,37.05,29504.93,400,678,3650,4242,5394,6513,17073,11449,15033,11269,7966,7880
6001,32.75,1012.73,37.05,28275.58,400,665,3645,4116,6894,6950,10885,8916,15460,11539,7925,7926
7001,32.75,1012.72,37.07,27250.06,400,620,3743,4342,7688,7273,10630,9186,15805,11550,6825,7565
8001,32.76,1012.75,37.09,26662.94,400,554,4074,4487,7919,7430,11892,10143,16784,11798,3888,5957
9001,32.76,1012.75,37.13,26646.05,400,475,4543,4798,8180,7869,13448,10683,18424,12462,3107,5596
