timestamp,BME680_temp,BME680_pressure,BME680_humidity,BME680_gas,SGP30_5_CO2,SGP30_5_TVOC,SGP30_6_CO2,SGP30_6_TVOC,SGP30_7_CO2,SGP30_7_TVOC,SGP30_8_CO2,SGP30_8_TVOC,SGP30_9_CO2,SGP30_9_TVOC,SGP30_10_CO2,SGP30_10_TVOC
0,32.65,1012.61,37.04,22818.77,3088,2734,7531,5089,57330,33055,57330,55747,57330,60000,57330,39678
1000,32.65,1012.61,37.06,23145.46,1918,2378,9170,5490,57330,34380,57330,55538,57330,60000,57330,38598
2000,32.65,1012.61,37.05,25284.95,1456,2062,4594,4096,57330,34310,57330,54911,57330,60000,57330,37970
3000,32.66,1012.61,37.02,27937.63,681,1607,2590,3013,57330,34206,57330,53273,57330,60000,57330,38319
4000,32.66,1012.61,36.97,29608.75,1880,2237,1776,2722,57330,33787,57330,51983,57330,60000,57330,32637
5000,32.66,1012.61,36.89,30846.04,2815,2477,2175,2891,57330,34519,57330,51634,57330,60000,38355,23156
6001,32.66,1012.6,36.83,30554.84,1979,2230,4867,4096,57330,35530,57330,53029,57330,60000,24213,15737
7001,32.66,1012.59,36.81,28544.14,2649,2429,13324,6378,57330,37517,57330,52157,57330,60000,21167,14995
8001,32.67,1012.59,36.83,26679.84,5064,3083,33790,11696,57330,38772,57330,48950,57330,60000,23965,15951
9001,32.67,1012.59,36.88,24881.24,9518,4668,57330,16603,57330,39748,57330,47173,57330,60000,18851,14049
