timestamp,BME680_temp,BME680_humidity,BME680_gas,SGP30_5_CO2,SGP30_5_TVOC,SGP30_6_CO2,SGP30_6_TVOC,SGP30_7_CO2,SGP30_7_TVOC,SGP30_8_CO2,SGP30_8_TVOC,SGP30_9_CO2,SGP30_9_TVOC,SGP30_10_CO2,SGP30_10_TVOC
0,32.15,33.22,153961.12,400,78,400,66,400,4,400,6,400,1,400,29
1000,32.15,33.22,154385.26,400,77,400,58,400,0,400,2,400,6,400,33
2000,32.15,33.21,154102.24,400,74,400,61,400,3,400,0,400,0,400,40
3000,32.15,33.22,153539.31,400,77,400,57,400,0,400,0,400,0,400,36
4000,32.15,33.21,154243.62,400,80,400,57,400,3,400,1,400,0,400,36
5001,32.15,33.21,154527.16,400,79,400,55,400,5,400,0,400,1,400,38
6001,32.15,33.22,154243.62,400,83,400,58,400,4,400,0,400,7,400,33
7001,32.15,33.21,153679.66,400,77,400,58,400,1,400,0,400,0,400,39
8001,32.15,33.22,154243.62,400,75,400,56,400,5,400,6,400,0,400,35
9001,32.15,33.22,152564.02,400,82,400,54,400,4,400,4,400,3,400,34
