timestamp,BME680_temp,BME680_humidity,BME680_gas,SGP30_5_CO2,SGP30_5_TVOC,SGP30_6_CO2,SGP30_6_TVOC,SGP30_7_CO2,SGP30_7_TVOC,SGP30_8_CO2,SGP30_8_TVOC,SGP30_9_CO2,SGP30_9_TVOC,SGP30_10_CO2,SGP30_10_TVOC
0,32.19,33.24,149577.9,400,67,400,48,400,17,400,39,400,19,400,38
1000,32.19,33.24,150380.64,400,73,400,44,400,18,400,29,400,22,400,39
2000,32.19,33.24,149312.22,400,71,400,45,400,18,400,29,400,26,401,43
3000,32.19,33.24,150380.64,400,69,400,46,400,16,400,32,400,23,400,43
4000,32.19,33.24,150515.27,400,68,400,45,400,15,400,30,400,21,400,44
5001,32.2,33.25,150246.26,400,63,401,42,400,13,400,25,400,24,400,36
6001,32.2,33.24,150246.26,400,69,402,41,400,14,400,29,400,22,400,36
7001,32.2,33.22,150785.25,400,73,402,45,400,12,400,28,400,20,400,43
8001,32.2,33.23,151056.21,400,72,400,44,400,11,400,30,400,23,400,43
9001,32.21,33.21,151056.21,400,72,400,43,400,17,400,28,400,24,400,40
