timestamp,BME680_temp,BME680_humidity,BME680_gas,SGP30_5_CO2,SGP30_5_TVOC,SGP30_6_CO2,SGP30_6_TVOC,SGP30_7_CO2,SGP30_7_TVOC,SGP30_8_CO2,SGP30_8_TVOC,SGP30_9_CO2,SGP30_9_TVOC,SGP30_10_CO2,SGP30_10_TVOC
0,32.41,33.07,14258.05,2855,2928,2504,3057,2015,2318,2408,2415,3581,2969,3677,4793
1000,32.41,33.06,14365.25,2877,2958,2541,3143,2050,2401,2352,2413,3571,2953,3672,4783
2000,32.41,33.07,14554.26,2928,2978,2597,3133,2041,2385,2285,2422,3601,2955,3603,4708
3000,32.41,33.07,14737.96,2968,3022,2693,3249,2067,2424,2249,2383,3488,2965,3601,4748
4000,32.41,33.06,14968.89,2990,3001,2712,3188,2066,2480,2192,2394,3446,2967,3628,4723
5001,32.41,33.04,15340.37,3044,3045,2776,3223,2055,2505,2096,2385,3414,2935,3652,4773
6001,32.41,33.03,15801.72,3137,3038,2857,3284,2058,2484,2051,2320,3392,2902,3664,4718
7001,32.41,33.02,16406.14,3215,3071,2921,3354,2079,2519,2001,2353,3333,2907,3633,4893
8001,32.41,32.98,16907.68,3338,3071,2990,3424,2062,2503,1939,2281,3328,2911,3596,4768
9001,32.41,32.97,17513.52,3397,3123,3080,3444,2056,2558,1886,2228,3252,2888,3566,4708
