timestamp,BME680_temp,BME680_humidity,BME680_gas,SGP30_5_CO2,SGP30_5_TVOC,SGP30_6_CO2,SGP30_6_TVOC,SGP30_7_CO2,SGP30_7_TVOC,SGP30_8_CO2,SGP30_8_TVOC,SGP30_9_CO2,SGP30_9_TVOC,SGP30_10_CO2,SGP30_10_TVOC
0,31.65,34.1,52270.37,512,6,485,10,485,5,517,9,520,7,456,2
1000,31.66,34.1,53569.42,524,8,479,6,489,2,515,10,530,8,461,1
2000,31.66,34.08,54898.82,516,3,471,8,487,0,511,9,520,7,456,1
3000,31.67,34.07,56599.1,523,7,478,10,482,3,517,5,526,8,455,1
4000,31.67,34.05,57726.22,529,12,474,8,491,7,506,10,521,8,461,5
5000,31.68,34.04,58899.14,524,13,477,7,483,6,510,8,522,8,456,7
6001,31.69,34.03,59949.22,525,9,480,12,472,7,512,6,523,7,460,8
7001,31.69,34.0,60993.14,529,12,480,12,480,3,518,13,523,6,459,8
8001,31.7,33.99,62396.58,526,12,476,12,486,8,512,12,524,10,467,9
9001,31.7,33.98,63720.9,528,18,472,6,482,6,500,4,523,16,463,9
