timestamp,BME680_temp,BME680_humidity,BME680_gas,SGP30_5_CO2,SGP30_5_TVOC,SGP30_6_CO2,SGP30_6_TVOC,SGP30_7_CO2,SGP30_7_TVOC,SGP30_8_CO2,SGP30_8_TVOC,SGP30_9_CO2,SGP30_9_TVOC,SGP30_10_CO2,SGP30_10_TVOC
0,32.43,32.11,130329.96,400,100,400,83,400,16,400,18,400,44,400,124
1000,32.43,32.1,130735.34,400,103,400,87,400,14,400,19,400,53,400,125
2000,32.44,32.09,131450.85,400,108,400,92,400,17,400,15,400,51,400,127
3000,32.44,32.09,130128.21,400,108,400,87,400,16,400,19,400,51,400,129
4000,32.44,32.09,130633.76,400,108,400,90,400,16,400,17,400,49,400,130
5000,32.44,32.08,130329.96,400,107,400,86,400,16,400,13,400,55,400,130
6001,32.44,32.09,130532.33,400,101,400,90,400,18,400,16,400,44,400,129
7001,32.44,32.08,130633.76,400,100,400,86,400,20,400,17,400,51,400,126
8001,32.44,32.08,130532.33,400,105,400,83,400,17,400,9,400,53,400,130
9001,32.45,32.08,130229.01,400,113,400,84,400,18,400,15,400,51,400,132
