timestamp,BME680_temp,BME680_humidity,BME680_gas,SGP30_5_CO2,SGP30_5_TVOC,SGP30_6_CO2,SGP30_6_TVOC,SGP30_7_CO2,SGP30_7_TVOC,SGP30_8_CO2,SGP30_8_TVOC,SGP30_9_CO2,SGP30_9_TVOC,SGP30_10_CO2,SGP30_10_TVOC
0,32.29,35.21,33155.21,37162,31905,16108,12394,2173,3795,4928,6784,55719,39992,57330,42223
1000,32.29,35.21,33103.04,38981,32533,16591,12484,1923,3580,4850,6724,54764,39295,57330,42711
2000,32.29,35.21,33525.06,40414,32777,17638,12890,1794,3334,4889,6864,54108,38633,57330,40829
3000,32.3,35.17,33875.96,41488,33962,18975,13385,1719,3213,4916,6794,52676,38354,57330,40306
4000,32.3,35.18,33848.71,43845,34694,20657,13846,1603,3045,5093,6789,51512,38075,57330,40131
5000,32.3,35.16,33985.41,45366,35495,22104,14477,1366,2967,5447,6975,49991,37552,55808,39539
6001,32.3,35.16,34290.09,46261,36297,24006,15231,1031,2715,6113,7138,48021,35914,53720,38458
7001,32.3,35.15,34430.39,47902,36890,26198,15827,908,2681,5939,7205,45814,35182,52079,38214
8001,32.3,35.13,34714.46,48588,36994,28018,16847,1113,2718,4827,6654,44143,34728,51960,37831
9001,32.3,35.13,34628.75,49483,37796,30896,19496,1471,2941,3979,5932,43904,34659,52377,38423
