timestamp,BME680_temp,BME680_humidity,BME680_gas,SGP30_5_CO2,SGP30_5_TVOC,SGP30_6_CO2,SGP30_6_TVOC,SGP30_7_CO2,SGP30_7_TVOC,SGP30_8_CO2,SGP30_8_TVOC,SGP30_9_CO2,SGP30_9_TVOC,SGP30_10_CO2,SGP30_10_TVOC
0,31.38,36.96,44475.47,57330,54214,56524,49822,4477,6739,715,2205,18851,14173,42830,33160
1000,31.38,36.91,45240.63,57330,53621,57330,50519,2879,5641,721,2189,20023,14454,42860,33299
2000,31.39,36.86,45782.14,57330,54249,57330,50972,2254,5295,788,2258,21126,14736,42950,33892
3000,31.39,36.83,45881.99,57330,54458,57330,50414,1992,5164,812,2233,22146,15242,44948,34589
4000,31.39,36.8,45192.04,57330,54005,57330,50414,2004,5139,735,2138,23262,15602,47842,35809
5000,31.39,36.83,44381.64,57330,54353,55540,49090,2366,5290,782,2193,24379,16008,51303,37447
6001,31.4,36.81,43419.82,57330,53935,51781,47626,2764,5555,1435,2681,25867,16882,55242,38702
7001,31.4,36.83,42801.44,57330,53551,47992,45848,2580,5345,2715,3680,26943,18520,57330,40410
8001,31.4,36.85,42285.25,57330,52645,44978,43722,2428,5255,3824,4517,28514,20472,57330,40794
9001,31.41,36.87,41533.89,57330,51843,41756,42711,2423,5144,4953,5490,30836,21622,57330,41491
