timestamp,BME680_temp,BME680_humidity,BME680_gas,SGP30_5_CO2,SGP30_5_TVOC,SGP30_6_CO2,SGP30_6_TVOC,SGP30_7_CO2,SGP30_7_TVOC,SGP30_8_CO2,SGP30_8_TVOC,SGP30_9_CO2,SGP30_9_TVOC,SGP30_10_CO2,SGP30_10_TVOC
0,31.49,36.84,34945.12,57330,54318,26529,33718,1229,2875,1764,3650,31165,25526,46142,36750
1000,31.49,36.84,34600.27,57330,52750,26901,33857,856,2653,1727,3605,31642,25212,47425,37273
2000,31.5,36.84,34040.41,57330,52575,26570,33753,1009,2771,2683,4578,32000,25631,48917,38319
3000,31.5,36.85,33525.06,57330,51704,25909,32498,1917,3690,4796,6092,33104,26049,50170,38633
4000,31.5,36.86,33103.04,57330,50449,24723,31034,4565,5801,8956,8229,33372,26154,51751,39190
5001,31.5,36.87,32339.72,55301,49508,23869,30406,8499,8083,11771,10256,33074,25735,52676,39365
6001,31.51,36.89,31753.95,55421,49752,23800,30929,9095,8635,12924,10447,32955,26119,53422,39713
7001,31.51,36.91,31189.03,56286,50170,23910,31138,6188,6834,8539,7655,33492,26677,53750,40306
8001,31.51,36.93,30688.55,57330,51425,22876,29744,3998,5661,6286,6498,33671,26607,53153,39504
9001,31.51,36.95,30510.52,57330,51042,21512,28838,4180,5866,7253,6879,33014,26293,52437,39678
