timestamp,BME680_temp,BME680_humidity,BME680_gas,SGP30_5_CO2,SGP30_5_TVOC,SGP30_6_CO2,SGP30_6_TVOC,SGP30_7_CO2,SGP30_7_TVOC,SGP30_8_CO2,SGP30_8_TVOC,SGP30_9_CO2,SGP30_9_TVOC,SGP30_10_CO2,SGP30_10_TVOC
0,31.54,36.97,28466.89,57330,51460,10531,15726,26860,20228,24461,15614,22642,18276,31911,30302
1000,31.54,36.96,28409.23,57330,51565,7948,13756,30061,22982,24930,15704,20133,16951,26915,27757
2000,31.55,36.96,28275.58,57330,51425,5377,12147,36804,26781,23593,15321,17101,15467,25054,26119
3000,31.55,36.98,28237.63,57330,50972,5076,12124,40831,28733,21401,14522,16549,15253,24709,26432
4000,31.55,36.96,28180.89,56017,50589,6645,13284,40891,28733,21539,14848,17997,15884,25716,26886
5000,31.56,36.97,28351.8,54108,49473,8591,14724,38295,28175,22573,15118,21167,18415,25909,26711
6001,31.56,36.93,28275.58,50110,47347,10775,16289,33193,25666,23055,15343,23869,20263,20877,22006
7001,31.56,36.93,28199.78,45486,44523,15419,22110,27907,23156,24654,16075,25867,22215,15433,16777
8001,31.56,36.93,27900.58,40056,42571,20243,26851,28459,23644,26350,17160,27246,23470,11713,15512
9001,31.57,36.92,27517.39,34596,39399,24103,31034,33372,26607,30508,20576,28376,24968,9408,13869
