timestamp,BME680_temp,BME680_humidity,BME680_gas,SGP30_5_CO2,SGP30_5_TVOC,SGP30_6_CO2,SGP30_6_TVOC,SGP30_7_CO2,SGP30_7_TVOC,SGP30_8_CO2,SGP30_8_TVOC,SGP30_9_CO2,SGP30_9_TVOC,SGP30_10_CO2,SGP30_10_TVOC
0,32.5,32.8,14665.97,6483,5977,3404,4578,1963,3034,1466,2196,2997,3001,3606,5375
1000,32.5,32.82,14404.63,6495,5927,3375,4603,1938,3045,1574,2272,3039,3038,3606,5365
2000,32.5,32.82,14038.99,6506,5922,3345,4628,1915,2981,1653,2371,3049,3052,3581,5430
3000,32.5,32.83,13682.55,6506,5992,3372,4593,1883,2976,1766,2434,3132,3093,3569,5380
4000,32.5,32.84,13472.05,6547,5942,3424,4613,1857,2946,1853,2537,3149,3093,3564,5420
5000,32.5,32.83,13192.98,6605,5987,3377,4527,1828,2916,1971,2623,3166,3123,3544,5310
6001,32.5,32.82,13045.58,6495,5932,3355,4593,1819,2918,2047,2764,3181,3178,3525,5320
7001,32.5,32.82,12783.73,6460,5992,3336,4532,1815,2916,2116,2803,3272,3108,3534,5370
8001,32.51,32.83,12675.79,6419,6002,3358,4532,1807,2907,2173,2835,3301,3148,3586,5335
9001,32.51,32.83,12562.14,6350,5942,3336,4673,1809,2875,2236,2884,3336,3254,3588,5355
