timestamp,BME680_temp,BME680_humidity,BME680_gas,SGP30_5_CO2,SGP30_5_TVOC,SGP30_6_CO2,SGP30_6_TVOC,SGP30_7_CO2,SGP30_7_TVOC,SGP30_8_CO2,SGP30_8_TVOC,SGP30_9_CO2,SGP30_9_TVOC,SGP30_10_CO2,SGP30_10_TVOC
0,32.16,35.57,28699.9,24654,34554,21043,32637,4695,10222,4531,7959,8122,12135,8933,14049
1000,32.16,35.54,29197.81,24392,34031,21980,33369,3961,8815,5597,9243,8725,12664,8447,13486
2000,32.16,35.51,29546.37,23110,32916,21305,32602,3660,8736,7236,10503,9697,13227,8145,13452
3000,32.16,35.5,29797.47,22780,32672,18700,29814,4160,9546,9049,11922,10387,13801,8603,13678
4000,32.17,35.48,29734.3,24034,33927,14206,25561,4239,9591,10149,12574,10844,14049,9495,14319
5000,32.17,35.48,29319.89,25757,35635,10815,21099,3179,7577,10010,12417,11302,14342,9894,14668
6001,32.17,35.47,28817.84,27067,37482,9819,18973,1627,5681,5985,9029,11719,14578,10248,14803
7001,32.17,35.49,28294.6,28335,38667,9790,19078,902,4648,3049,6032,11858,14668,10862,15152
8001,32.17,35.51,28294.6,29941,39539,10358,19810,810,4573,1784,4959,12207,14713,11892,15794
9001,32.17,35.51,28817.84,31761,39957,10943,21413,703,4221,1127,3996,12359,14781,14096,16882
