timestamp,BME680_temp,BME680_humidity,BME680_gas,SGP30_5_CO2,SGP30_5_TVOC,SGP30_6_CO2,SGP30_6_TVOC,SGP30_7_CO2,SGP30_7_TVOC,SGP30_8_CO2,SGP30_8_TVOC,SGP30_9_CO2,SGP30_9_TVOC,SGP30_10_CO2,SGP30_10_TVOC
0,31.32,35.4,42073.82,1642,4613,1668,5174,3866,6975,1217,2692,1599,3996,2041,6102
1000,31.32,35.4,41906.2,1727,4733,1527,5024,3392,6694,1376,2840,1636,4061,2106,6152
2000,31.32,35.41,41533.89,1764,4783,1376,4828,2381,6002,1344,2884,1703,4096,2217,6117
3000,31.32,35.39,40888.08,1738,4713,1274,4643,1633,5139,1267,2872,1758,4146,2219,6232
4000,31.33,35.38,40339.26,1675,4713,1168,4532,1302,4848,1375,2930,1773,4181,2271,6238
5001,31.33,35.38,40032.21,1482,4407,1137,4547,1211,4773,1628,3128,1771,4181,2209,6157
6001,31.33,35.39,39065.8,1211,3991,1145,4492,1295,4798,1843,3499,1750,4146,2138,6122
7001,31.33,35.39,38635.32,941,3575,1165,4457,1440,5069,2015,3830,1725,4166,2048,6037
8001,31.34,35.38,38388.57,859,3494,1195,4542,1596,5240,2202,4061,1688,4121,1999,6017
9001,31.34,35.38,38144.95,913,3575,1219,4482,1719,5365,2288,4111,1667,4106,1951,5912
