timestamp,BME680_temp,BME680_humidity,BME680_gas,SGP30_5_CO2,SGP30_5_TVOC,SGP30_6_CO2,SGP30_6_TVOC,SGP30_7_CO2,SGP30_7_TVOC,SGP30_8_CO2,SGP30_8_TVOC,SGP30_9_CO2,SGP30_9_TVOC,SGP30_10_CO2,SGP30_10_TVOC
0,32.6,32.54,16291.68,3326,5235,7474,8590,4474,6243,1249,2494,1864,2840,2005,4512
1000,32.6,32.55,15945.59,3419,5250,7340,8770,4479,6197,1242,2519,1846,2814,2007,4422
2000,32.6,32.54,15742.54,3493,5275,7352,8533,4410,6298,1256,2480,1858,2789,2012,4527
3000,32.6,32.55,15441.81,3571,5365,7485,8781,4383,6197,1288,2528,1842,2784,1995,4472
4000,32.6,32.56,15240.26,3652,5435,7526,8894,4312,6162,1307,2519,1820,2766,1986,4442
5000,32.6,32.57,15000.95,3738,5445,7537,9051,4302,6157,1356,2544,1819,2784,1976,4432
6001,32.6,32.56,14769.03,3817,5510,7549,8804,4271,6127,1396,2593,1784,2743,1951,4477
7001,32.6,32.56,14594.68,3905,5500,7613,8927,4253,6102,1441,2639,1781,2754,1943,4427
8001,32.6,32.56,14365.25,3991,5626,7549,9051,4275,6207,1500,2630,1764,2778,1934,4372
9001,32.6,32.56,14114.42,3993,5606,7392,8860,4278,6157,1591,2718,1739,2754,1917,4307
