timestamp,BME680_temp,BME680_humidity,BME680_gas,SGP30_5_CO2,SGP30_5_TVOC,SGP30_6_CO2,SGP30_6_TVOC,SGP30_7_CO2,SGP30_7_TVOC,SGP30_8_CO2,SGP30_8_TVOC,SGP30_9_CO2,SGP30_9_TVOC,SGP30_10_CO2,SGP30_10_TVOC
0,32.16,35.51,28505.46,28073,27966,635,2233,4913,6423,31374,18136,57330,49403,50289,37552
1000,32.17,35.5,28466.89,29434,28559,779,2436,4597,6258,36535,21169,57330,49508,53959,38528
2000,32.17,35.51,28486.16,30807,29047,1056,2664,4347,6047,39280,22528,57330,48950,56524,39155
3000,32.17,35.5,28218.69,32298,30546,1486,2898,4280,5932,39548,23330,57330,49125,57330,40585
4000,32.17,35.49,28256.59,33671,30232,1811,3218,4320,5967,40235,23400,57330,49334,57330,40097
5001,32.17,35.49,28012.03,33909,30650,2087,3710,4386,5942,41159,24027,57330,49159,57330,40341
6001,32.17,35.49,27753.35,34954,30650,2602,4076,4401,5957,41159,23505,57330,48323,57330,39853
7001,32.18,35.48,27662.12,35610,30824,3218,4573,4325,5902,40682,23365,57330,48218,56793,38702
8001,32.18,35.52,27197.22,36475,31313,3694,4959,4128,5691,38295,22598,57330,48637,55152,38807
9001,32.18,35.5,27144.58,36445,31138,3993,5305,3625,5325,32955,21239,57330,49194,54048,38214
