timestamp,BME680_temp,BME680_humidity,BME680_gas,SGP30_5_CO2,SGP30_5_TVOC,SGP30_6_CO2,SGP30_6_TVOC,SGP30_7_CO2,SGP30_7_TVOC,SGP30_8_CO2,SGP30_8_TVOC,SGP30_9_CO2,SGP30_9_TVOC,SGP30_10_CO2,SGP30_10_TVOC
0,32.35,34.42,53501.24,764,1958,2465,4934,4405,7712,1638,3404,1923,3314,1657,2909
1000,31.79,38.6,13259.57,806,2085,2273,4813,4683,8016,1465,3083,1948,3213,1799,3344
2000,31.44,38.55,13029.41,823,2159,2049,4748,4347,7430,1387,2941,2013,3369,1841,3605
3000,31.21,38.41,13736.2,834,2189,1925,4583,3809,6895,764,2526,2121,3670,1829,3765
4000,31.04,38.3,14686.47,834,2258,1853,4598,4244,7374,446,2092,2263,3770,1810,3815
5000,30.93,38.16,15683.8,821,2272,1802,4492,4936,8702,400,1854,2391,3921,1718,3740
6001,30.86,38.02,16679.57,798,2267,1754,4462,6848,10109,400,1808,2604,3991,1484,3479
7001,30.81,37.91,17631.06,709,2127,1740,4472,8151,10965,507,2062,2933,4382,1014,2992
8001,30.78,37.78,18631.37,610,2020,1787,4583,8493,11505,802,2399,3431,4668,621,2584
9001,30.76,37.67,19604.63,502,1930,1906,4728,6970,10199,911,2535,3755,5079,400,2307
