timestamp,BME680_temp,BME680_humidity,BME680_gas,SGP30_5_CO2,SGP30_5_TVOC,SGP30_6_CO2,SGP30_6_TVOC,SGP30_7_CO2,SGP30_7_TVOC,SGP30_8_CO2,SGP30_8_TVOC,SGP30_9_CO2,SGP30_9_TVOC,SGP30_10_CO2,SGP30_10_TVOC
0,32.24,35.29,30755.85,17004,27687,9321,16603,1019,4663,1292,4006,9535,13013,11959,15929
1000,32.24,35.31,30466.34,17390,27966,10051,18450,579,3650,1121,3805,9836,13171,11643,15614
2000,32.24,35.31,30290.87,16563,27931,10601,20332,400,3193,1102,3790,9825,13171,11591,15580
3000,32.24,35.31,30138.98,15750,26711,11145,21204,400,3108,1197,3890,9761,13160,11638,15614
4000,32.25,35.31,29882.12,15695,27130,11701,22284,400,2884,1739,4808,9622,13025,11487,15524
5000,32.25,35.33,29671.39,15970,26642,12414,23818,400,2812,3017,6042,9605,12968,11383,15569
6001,32.25,35.34,29484.26,15957,27060,12193,23261,400,2798,4401,7115,9773,13272,11696,16041
7001,32.25,35.34,29157.34,14826,25596,11435,21483,493,3304,5643,8455,10086,13475,13089,16498
8001,32.25,35.34,28699.9,11973,22703,10630,19984,875,4312,6396,9051,10178,13587,14220,17997
9001,32.25,35.35,28505.46,10856,20228,10439,19670,856,4071,4847,7700,10479,13723,15240,17683
