timestamp,BME680_temp,BME680_humidity,BME680_gas,SGP30_5_CO2,SGP30_5_TVOC,SGP30_6_CO2,SGP30_6_TVOC,SGP30_7_CO2,SGP30_7_TVOC,SGP30_8_CO2,SGP30_8_TVOC,SGP30_9_CO2,SGP30_9_TVOC,SGP30_10_CO2,SGP30_10_TVOC
0,32.45,32.9,16679.57,4830,4989,3095,4262,1420,1926,1649,1476,2820,2775,3164,4568
1000,32.45,32.9,16067.49,4761,4909,3068,4136,1442,1972,1855,1681,2879,2794,3201,4573
2000,32.45,32.91,15533.11,4663,4873,3004,4091,1451,1942,2013,1896,2904,2817,3252,4537
3000,32.45,32.91,15022.39,4577,4939,2904,4131,1498,2000,2347,2136,2938,2808,3252,4477
4000,32.45,32.92,14594.68,4533,4798,2867,4061,1516,2030,2710,2242,2918,2819,3245,4532
5001,32.45,32.92,14219.46,4415,4778,2764,3991,1568,2041,3051,2438,2963,2808,3296,4492
6001,32.45,32.92,13881.36,4351,4648,2712,3850,1618,2067,3363,2611,3044,2870,3294,4557
7001,32.46,32.92,13489.35,4293,4673,2599,3815,1648,2127,3633,2715,3009,2881,3304,4562
8001,32.46,32.92,13234.52,4204,4557,2580,3770,1703,2187,3873,2916,3049,2870,3370,4658
9001,32.46,32.94,12957.11,4128,4492,2533,3790,1745,2212,4143,3057,3051,2914,3377,4663
