timestamp,BME680_temp,BME680_humidity,BME680_gas,SGP30_5_CO2,SGP30_5_TVOC,SGP30_6_CO2,SGP30_6_TVOC,SGP30_7_CO2,SGP30_7_TVOC,SGP30_8_CO2,SGP30_8_TVOC,SGP30_9_CO2,SGP30_9_TVOC,SGP30_10_CO2,SGP30_10_TVOC
0,32.49,32.81,16030.73,4123,4422,2754,3680,4673,5465,3996,4477,3250,3254,3510,5109
1000,32.49,32.81,16241.32,4261,4598,2820,3735,4614,5405,3809,4412,3235,3173,3542,5069
2000,32.49,32.8,16431.79,4393,4633,2926,3840,4567,5325,3655,4262,3191,3183,3539,5164
3000,32.49,32.79,16600.52,4499,4728,3017,3850,4513,5365,3444,4091,3255,3203,3529,5154
4000,32.49,32.8,16719.37,4594,4798,3036,3961,4410,5240,3269,4026,3245,3208,3529,5109
5001,32.49,32.78,16759.37,4729,4939,3071,3936,4310,5189,3053,3830,3181,3213,3529,5089
6001,32.49,32.8,16799.56,4815,5004,3112,4011,4246,5199,2914,3715,3220,3218,3547,5134
7001,32.49,32.8,16866.97,4977,5074,3174,4086,4167,5064,2680,3544,3154,3103,3542,5219
8001,32.49,32.79,16826.46,5053,5169,3223,4141,4067,5054,2509,3459,3230,3148,3539,5119
9001,32.49,32.8,16921.29,5360,5260,3223,4156,4013,5094,2271,3324,3201,3178,3532,5139
