timestamp,BME680_temp,BME680_humidity,BME680_gas,SGP30_5_CO2,SGP30_5_TVOC,SGP30_6_CO2,SGP30_6_TVOC,SGP30_7_CO2,SGP30_7_TVOC,SGP30_8_CO2,SGP30_8_TVOC,SGP30_9_CO2,SGP30_9_TVOC,SGP30_10_CO2,SGP30_10_TVOC
0,32.44,35.1,32590.22,31672,30824,24324,16847,4835,6263,1322,3304,39131,32010,27466,26293
1000,32.44,35.11,32742.39,32239,31417,25605,18380,4724,6308,1437,3454,36684,31243,26171,25247
2000,32.44,35.1,33103.04,32418,31626,27315,20019,6327,6864,1508,3514,33611,29360,25909,25456
3000,32.45,35.09,33848.71,33193,31835,28808,21448,7931,7892,1529,3489,28718,27722,26639,25945
4000,32.45,35.08,34515.12,34238,32463,30986,23016,8464,8151,1569,3469,26777,25456,26295,24550
5000,32.45,35.07,34945.12,36177,32846,32656,23783,7798,7700,1722,3775,25220,24620,24186,22947
6001,32.45,35.06,35565.44,38444,33857,33731,24132,5950,6724,1854,3880,24213,23748,22973,22075
7001,32.45,35.05,36145.97,39638,34589,33492,24271,4781,6363,1854,3835,23648,23400,23882,23016
8001,32.46,35.03,36145.97,40563,35286,32746,23888,4543,6112,1861,3885,23345,21866,25137,24027
9001,32.46,35.01,36333.25,41130,35530,31254,22877,4474,6147,1864,3805,23290,22668,26364,25770
