timestamp,BME680_temp,BME680_humidity,BME680_gas,SGP30_5_CO2,SGP30_5_TVOC,SGP30_6_CO2,SGP30_6_TVOC,SGP30_7_CO2,SGP30_7_TVOC,SGP30_8_CO2,SGP30_8_TVOC,SGP30_9_CO2,SGP30_9_TVOC,SGP30_10_CO2,SGP30_10_TVOC
0,31.64,34.69,39431.92,1502,4397,914,4221,400,1556,400,1250,786,2925,703,3143
1000,31.64,34.68,39617.57,1594,4532,857,4151,400,1665,400,1164,752,2907,731,3264
2000,31.64,34.67,40146.8,1611,4507,877,4196,400,1695,400,1083,702,2833,766,3409
3000,31.64,34.66,40651.05,1585,4467,891,4151,400,1928,400,1045,656,2826,775,3459
4000,31.64,34.64,41533.89,1531,4542,898,4242,400,2228,400,1012,617,2720,778,3479
5000,31.65,34.63,42584.84,1519,4402,857,4196,512,2524,400,984,600,2724,752,3434
6001,31.65,34.61,43064.29,1480,4402,840,4111,640,2704,400,984,592,2713,744,3489
7001,31.65,34.59,44056.34,1465,4317,820,4121,687,2787,400,1013,586,2699,722,3394
8001,31.66,34.58,44475.47,1422,4307,816,4031,659,2750,400,952,549,2648,715,3374
9001,31.66,34.55,44902.66,1365,4237,814,4091,588,2667,400,927,552,2658,719,3424
