timestamp,BME680_temp,BME680_humidity,BME680_gas,SGP30_5_CO2,SGP30_5_TVOC,SGP30_6_CO2,SGP30_6_TVOC,SGP30_7_CO2,SGP30_7_TVOC,SGP30_8_CO2,SGP30_8_TVOC,SGP30_9_CO2,SGP30_9_TVOC,SGP30_10_CO2,SGP30_10_TVOC
0,31.85,36.37,24028.67,57330,41561,5528,6278,20588,13464,33731,16244,57330,45081,57330,55190
1000,31.85,36.36,24069.91,57330,42397,4945,6092,21043,13531,33223,16428,57330,44105,57330,55678
2000,31.85,36.33,24028.67,57330,42432,4405,5751,21773,13745,31075,15929,57330,44733,57330,55434
3000,31.85,36.32,24028.67,57330,41944,3625,5280,23235,14173,29076,15659,57330,44279,57330,55608
4000,31.85,36.3,24125.11,57330,41595,3100,4949,24310,14556,28100,15580,57330,45465,57330,54493
5000,31.86,36.31,23987.57,57330,42049,2840,4758,24778,14747,28321,15490,57330,45395,57330,55015
6001,31.86,36.3,23987.57,57330,41491,2894,4793,24062,14432,28404,15692,57330,46057,57330,55364
7001,31.86,36.29,23946.61,57330,41805,2968,4748,23262,14162,29315,15850,57330,45499,57330,55364
8001,31.86,36.28,23824.58,57330,41700,2850,4583,22656,14049,32000,16255,57330,45918,57330,55050
9001,31.86,36.28,23663.79,57330,41491,2622,4482,21429,13700,34596,16916,57330,45813,57330,55538
