timestamp,BME680_temp,BME680_humidity,BME680_gas,SGP30_5_CO2,SGP30_5_TVOC,SGP30_6_CO2,SGP30_6_TVOC,SGP30_7_CO2,SGP30_7_TVOC,SGP30_8_CO2,SGP30_8_TVOC,SGP30_9_CO2,SGP30_9_TVOC,SGP30_10_CO2,SGP30_10_TVOC
0,31.68,36.83,33821.5,57330,53970,27673,15906,7392,4989,17693,7351,57330,36297,57330,47905
1000,31.68,36.82,33365.55,57330,53482,24503,14803,10265,6012,21953,8961,57330,36785,57330,47277
2000,31.68,36.82,32666.12,57330,53447,21953,14139,14344,7160,25137,10233,57330,35879,57330,47312
3000,31.68,36.82,32019.77,57330,53342,20643,13756,18796,9074,28087,11190,57330,33439,57330,46859
4000,31.69,36.8,31142.86,57330,53412,19182,13205,21787,10357,32865,12406,57330,31417,57330,45116
5001,31.69,36.82,30444.29,57330,53133,17542,12597,24420,11584,39996,13846,57330,29151,57330,45743
6001,31.69,36.84,29903.36,57330,52889,15433,12068,27301,12687,46470,14927,57181,29047,57330,45116
7001,31.69,36.83,29279.08,57330,52436,13407,11156,31433,13981,50856,15951,57330,29535,57330,44175
8001,31.7,36.84,28602.35,57330,52227,13296,11415,37549,15062,53451,16986,57330,31626,57330,42258
9001,31.7,36.85,27937.63,57330,52157,13296,11460,43845,16847,54317,17927,57330,33021,57330,41491
