timestamp,BME680_temp,BME680_humidity,BME680_gas,SGP30_5_CO2,SGP30_5_TVOC,SGP30_6_CO2,SGP30_6_TVOC,SGP30_7_CO2,SGP30_7_TVOC,SGP30_8_CO2,SGP30_8_TVOC,SGP30_9_CO2,SGP30_9_TVOC,SGP30_10_CO2,SGP30_10_TVOC
0,32.0,35.8,26312.77,6871,13723,14054,25875,43695,41665,26267,24759,21443,20123,6321,11302
1000,32.0,35.81,25545.93,5823,13239,9252,17509,47604,43373,25605,24167,22793,21030,6692,11629
2000,32.01,35.85,24576.04,7196,14499,7294,15704,49722,44802,24379,23051,23428,21796,7665,12439
3000,32.01,35.88,23650.48,9344,16143,5736,14522,50468,45290,23386,21866,23372,21692,9223,13194
4000,32.01,35.91,22843.57,10682,17962,5290,14420,49901,45360,22573,21483,23262,21343,10335,14117
5001,32.01,35.95,22549.45,12125,21134,6391,15355,47723,44942,21429,19322,22559,21134,11232,14511
6001,32.02,35.98,22215.75,14468,23086,7862,16030,46321,43966,18796,17753,21580,19914,12524,15208
7001,32.02,35.99,22122.21,16370,24968,8655,17579,44829,43408,14302,15073,20478,19461,14358,15816
8001,32.02,35.99,22192.29,18369,26572,9089,17718,43427,42676,12166,14544,19472,18764,15088,16053
9001,32.02,36.01,22215.75,18865,27269,9622,19566,42711,42850,12786,14803,18741,17648,14675,15895
