timestamp,BME680_temp,BME680_humidity,BME680_gas,SGP30_5_CO2,SGP30_5_TVOC,SGP30_6_CO2,SGP30_6_TVOC,SGP30_7_CO2,SGP30_7_TVOC,SGP30_8_CO2,SGP30_8_TVOC,SGP30_9_CO2,SGP30_9_TVOC,SGP30_10_CO2,SGP30_10_TVOC
0,31.76,34.35,41329.89,536,2713,400,2791,569,2851,400,1545,682,2729,400,2727
1000,31.76,34.35,41168.14,540,2722,400,2803,456,2724,400,1427,676,2748,400,2692
2000,31.77,34.35,41208.46,539,2764,425,2872,400,2501,400,1309,675,2775,400,2667
3000,31.77,34.37,41087.73,540,2704,461,2884,400,2378,400,1262,665,2745,400,2664
4000,31.77,34.35,40769.22,536,2706,487,2953,400,2224,400,1210,680,2754,400,2674
5001,31.77,34.35,40888.08,519,2701,503,2935,400,2228,400,1210,692,2812,400,2655
6001,31.78,34.35,40888.08,490,2634,512,2969,400,2249,400,1209,696,2757,400,2697
7001,31.78,34.34,41127.89,447,2588,505,3025,400,2350,400,1229,721,2787,400,2683
8001,31.78,34.34,40888.08,402,2567,477,2946,400,2507,400,1272,721,2858,400,2731
9001,31.78,34.34,40967.71,400,2494,452,2937,510,2694,400,1309,729,2833,400,2699
