timestamp,BME680_temp,BME680_humidity,BME680_gas,SGP30_5_CO2,SGP30_5_TVOC,SGP30_6_CO2,SGP30_6_TVOC,SGP30_7_CO2,SGP30_7_TVOC,SGP30_8_CO2,SGP30_8_TVOC,SGP30_9_CO2,SGP30_9_TVOC,SGP30_10_CO2,SGP30_10_TVOC
0,32.15,35.56,28012.03,40384,34624,651,2849,15102,11483,7943,7982,55182,37831,57330,49961
1000,32.15,35.56,27900.58,37639,32881,620,2738,13255,11145,8012,8072,54645,37517,57330,50135
2000,32.15,35.56,27900.58,32746,31173,576,2627,11748,10605,8516,8376,54436,37552,57330,49787
3000,32.15,35.56,28124.38,28459,28454,465,2443,10723,9772,9031,8691,55987,38423,57330,49543
4000,32.15,35.56,27993.4,26474,26223,400,2281,9622,9186,9941,9321,57330,39155,57330,49194
5001,32.16,35.54,28218.69,25399,25178,400,2131,8719,8466,11632,10672,57330,41107,57330,48323
6001,32.16,35.54,28294.6,24503,24968,400,2016,8319,7993,15667,12090,57330,42049,57330,46510
7001,32.16,35.54,28390.06,24489,24306,400,2007,7213,7419,19844,13430,57330,44767,57330,42850
8001,32.16,35.52,28524.79,24999,25108,400,2032,6026,6799,23689,14905,57330,47312,53183,37970
9001,32.16,35.52,28332.7,26681,26572,483,2120,5539,6709,27232,15996,57330,48079,47604,36506
