timestamp,BME680_temp,BME680_humidity,BME680_gas,SGP30_5_CO2,SGP30_5_TVOC,SGP30_6_CO2,SGP30_6_TVOC,SGP30_7_CO2,SGP30_7_TVOC,SGP30_8_CO2,SGP30_8_TVOC,SGP30_9_CO2,SGP30_9_TVOC,SGP30_10_CO2,SGP30_10_TVOC
0,31.59,36.73,31119.82,43427,44349,57330,55747,42920,33404,2460,5114,10607,12890,12097,15208
1000,31.59,36.67,32973.32,47216,45848,57330,55364,36744,30720,1760,4357,10126,12496,15791,15951
2000,31.59,36.62,35267.33,50736,47800,57330,55747,35640,30511,1414,3845,10421,12833,16977,16951
3000,31.59,36.53,37972.81,52019,48044,57330,55608,37520,31382,1039,3304,11128,13239,18603,17823
4000,31.6,36.47,40416.76,51184,47661,57330,55259,38743,32393,1153,3414,11701,13678,21429,21169
5000,31.6,36.4,42370.41,48738,45953,57330,55085,37430,31591,1232,3434,12662,13903,24461,23888
6001,31.6,36.33,44056.34,44978,44977,57330,55120,35252,30650,1128,3118,13861,14387,27025,26572
7001,31.61,36.27,45046.89,38146,41630,57330,54318,32448,29256,936,2967,14757,14736,28927,27792
8001,31.61,36.22,45881.99,29882,37343,57330,54214,30419,27862,843,2879,15695,14905,31553,28942
9001,31.61,36.17,46644.98,26240,34833,57330,53970,30568,28210,829,2810,16150,15141,33701,29883
