timestamp,BME680_temp,BME680_humidity,BME680_gas,SGP30_5_CO2,SGP30_5_TVOC,SGP30_6_CO2,SGP30_6_TVOC,SGP30_7_CO2,SGP30_7_TVOC,SGP30_8_CO2,SGP30_8_TVOC,SGP30_9_CO2,SGP30_9_TVOC,SGP30_10_CO2,SGP30_10_TVOC
0,31.86,34.19,42031.79,400,1912,403,2847,635,2856,400,1288,400,2360,400,2630
1000,31.86,34.19,41947.98,400,2002,400,2868,570,2775,410,1482,400,2387,400,2593
2000,31.86,34.19,41947.98,400,2025,400,2842,550,2803,572,1790,400,2383,400,2563
3000,31.86,34.17,41657.26,400,2032,400,2773,595,2863,695,1990,400,2337,400,2480
4000,31.86,34.18,41864.5,400,2094,400,2699,644,2891,805,2191,400,2364,400,2434
5000,31.87,34.18,41657.26,400,2133,400,2623,669,2951,858,2320,400,2374,400,2364
6001,31.87,34.18,41781.36,400,2145,400,2551,686,2978,999,2496,427,2415,400,2332
7001,31.87,34.18,41370.53,400,2219,400,2457,697,2988,1076,2572,448,2406,400,2288
8001,31.87,34.17,41168.14,400,2207,400,2316,692,2981,1112,2625,461,2441,400,2237
9001,31.87,34.18,41329.89,400,2200,400,2191,695,3031,1131,2690,475,2454,400,2237
