timestamp,BME680_temp,BME680_humidity,BME680_gas,SGP30_5_CO2,SGP30_5_TVOC,SGP30_6_CO2,SGP30_6_TVOC,SGP30_7_CO2,SGP30_7_TVOC,SGP30_8_CO2,SGP30_8_TVOC,SGP30_9_CO2,SGP30_9_TVOC,SGP30_10_CO2,SGP30_10_TVOC
0,31.99,35.63,30666.19,26102,33508,28500,41073,4536,10638,4555,8792,13145,14409,12138,14826
1000,31.99,35.65,30160.59,17073,24794,26364,39574,4737,11370,8875,12676,14234,14837,9796,13239
2000,31.99,35.68,29755.33,11655,20298,25633,39365,9315,15220,12993,14893,15626,15186,7757,11955
3000,31.99,35.67,29258.72,11539,20367,26460,39853,16108,22563,16246,15839,16150,15197,6188,11077
4000,31.99,35.68,28313.64,12359,22006,27770,41630,22077,28001,17528,16053,16384,15557,4896,10379
5001,31.99,35.72,27680.32,12400,21378,28528,41212,25247,30615,18782,16986,16784,15715,4724,10267
6001,32.0,35.75,27409.83,11522,20088,29494,41561,27246,33021,20395,18834,16591,15602,5053,10582
7001,32.0,35.76,27232.42,11325,19844,29345,41386,28897,34485,22256,20786,16825,15895,5597,10999
8001,32.0,35.77,27127.08,10966,18206,27370,39783,32418,36297,23882,22563,18259,16638,5997,11134
9001,32.0,35.78,26867.25,9356,15636,22201,33578,37639,38528,24985,22912,19706,18311,6228,11235
