timestamp,BME680_temp,BME680_pressure,BME680_humidity,BME680_gas,SGP30_5_CO2,SGP30_5_TVOC,SGP30_6_CO2,SGP30_6_TVOC,SGP30_7_CO2,SGP30_7_TVOC,SGP30_8_CO2,SGP30_8_TVOC,SGP30_9_CO2,SGP30_9_TVOC,SGP30_10_CO2,SGP30_10_TVOC
0,32.16,1005.13,38.91,155960.61,400,9,400,5,400,4,476,68,414,21,400,1
1000,32.16,1005.13,38.83,156833.52,400,9,400,4,400,5,482,73,413,19,400,4
2000,32.16,1005.14,38.8,155960.61,400,7,400,4,400,6,472,68,411,20,400,2
3000,32.16,1005.13,38.78,157420.91,400,12,400,6,400,7,469,70,412,17,400,5
4000,32.16,1005.13,38.76,156687.36,400,8,400,7,403,7,469,67,415,19,400,8
5000,32.16,1005.15,38.74,156833.52,400,10,400,8,400,7,470,67,408,23,400,5
6001,32.17,1005.14,38.7,156833.52,400,8,401,9,400,9,475,75,400,19,400,12
7001,32.17,1005.14,38.71,156105.42,400,7,400,5,403,6,457,67,400,16,401,17
8001,32.17,1005.13,38.75,155960.61,400,4,400,3,400,10,460,67,400,14,403,12
9001,32.17,1005.12,38.81,154527.16,400,6,400,7,402,1,453,69,400,19,400,14
