timestamp,BME680_temp,BME680_pressure,BME680_humidity,BME680_gas,SGP30_5_CO2,SGP30_5_TVOC,SGP30_6_CO2,SGP30_6_TVOC,SGP30_7_CO2,SGP30_7_TVOC,SGP30_8_CO2,SGP30_8_TVOC,SGP30_9_CO2,SGP30_9_TVOC,SGP30_10_CO2,SGP30_10_TVOC
0,32.14,1005.1,38.09,149047.49,400,6,410,30,404,18,400,22,400,6,404,14
1000,32.14,1005.1,38.11,149047.49,400,9,400,32,408,20,407,19,400,10,403,8
2000,32.14,1005.09,38.13,147997.86,402,16,403,22,403,11,400,15,405,9,402,13
3000,32.14,1005.15,38.15,148652.14,411,7,403,28,400,10,400,9,400,9,400,16
4000,32.14,1005.14,38.15,149047.49,401,6,400,30,400,13,400,10,400,13,400,13
5000,32.14,1005.14,38.15,150785.25,407,11,400,25,400,10,400,13,400,9,400,7
6001,32.14,1005.14,38.1,150785.25,401,12,400,24,400,10,400,11,405,12,400,5
7001,32.14,1005.15,38.08,150515.27,401,10,400,24,400,8,400,17,408,10,400,9
8001,32.14,1005.15,38.05,151328.13,401,9,400,14,400,10,400,17,400,8,400,3
9001,32.14,1005.15,38.02,151056.21,400,11,400,19,400,3,401,5,400,12,400,9
