timestamp,BME680_temp,BME680_pressure,BME680_humidity,BME680_gas,SGP30_5_CO2,SGP30_5_TVOC,SGP30_6_CO2,SGP30_6_TVOC,SGP30_7_CO2,SGP30_7_TVOC,SGP30_8_CO2,SGP30_8_TVOC,SGP30_9_CO2,SGP30_9_TVOC,SGP30_10_CO2,SGP30_10_TVOC
0,33.14,1012.65,35.2,134932.28,409,11,414,14,401,14,407,34,406,13,410,6
1000,33.14,1012.65,35.19,136023.96,409,9,406,9,404,10,402,28,405,19,407,6
2000,33.14,1012.64,35.18,136576.45,403,6,400,16,407,14,401,28,402,11,408,8
3000,33.15,1012.64,35.19,136134.1,402,8,406,7,411,8,406,26,406,18,413,6
4000,33.14,1012.64,35.18,137021.69,404,8,403,14,407,11,406,27,407,10,404,1
5000,33.15,1012.64,35.17,137133.45,401,6,400,9,401,15,402,28,400,21,408,4
6001,33.14,1012.63,35.18,137245.4,407,6,407,12,400,7,410,32,409,17,414,4
7001,33.15,1012.64,35.16,137920.93,405,3,409,13,400,11,408,32,400,16,411,7
8001,33.15,1012.65,35.18,137920.93,400,10,406,12,406,10,404,28,403,22,415,2
9001,33.15,1012.65,35.17,137807.88,409,7,402,13,404,16,406,32,412,24,406,5
