timestamp,BME680_temp,BME680_humidity,BME680_gas,SGP30_5_CO2,SGP30_5_TVOC,SGP30_6_CO2,SGP30_6_TVOC,SGP30_7_CO2,SGP30_7_TVOC,SGP30_8_CO2,SGP30_8_TVOC,SGP30_9_CO2,SGP30_9_TVOC,SGP30_10_CO2,SGP30_10_TVOC
0,31.8,34.32,41168.14,412,2503,526,2974,660,2985,551,1997,536,2597,400,2551
1000,31.8,34.3,41168.14,428,2542,516,3013,635,2988,552,2007,507,2570,400,2512
2000,31.8,34.31,40729.76,465,2588,517,2985,611,2941,502,1972,474,2556,400,2540
3000,31.81,34.3,40729.76,512,2621,521,2983,598,2941,444,1946,438,2512,400,2487
4000,31.81,34.31,41007.64,548,2681,522,3015,563,2891,400,1873,413,2445,400,2503
5000,31.81,34.29,40729.76,575,2736,548,3066,539,2858,400,1836,400,2431,400,2484
6001,31.81,34.3,41007.64,573,2731,550,3031,542,2872,400,1813,400,2387,400,2461
7001,31.81,34.3,40808.77,553,2724,551,3034,587,2944,400,1822,400,2334,400,2452
8001,31.82,34.3,40848.39,523,2676,565,3034,650,2999,400,1799,400,2392,400,2436
9001,31.82,34.27,41007.64,493,2655,551,3034,680,3038,400,1757,400,2350,400,2447
