timestamp,BME680_temp,BME680_humidity,BME680_gas,SGP30_5_CO2,SGP30_5_TVOC,SGP30_6_CO2,SGP30_6_TVOC,SGP30_7_CO2,SGP30_7_TVOC,SGP30_8_CO2,SGP30_8_TVOC,SGP30_9_CO2,SGP30_9_TVOC,SGP30_10_CO2,SGP30_10_TVOC
0,31.24,37.71,22262.81,57330,18311,22118,11798,6755,5375,23248,8905,57330,19844,24172,11933
1000,31.26,37.79,22262.81,57330,20437,22146,11629,7578,5621,19720,7959,57330,20088,26818,12777
2000,31.27,37.83,22333.79,57330,20820,22711,12102,5134,4994,16935,7030,57330,20054,31761,13846
3000,31.28,37.89,22549.45,57330,22180,23028,12259,4074,4367,13792,6619,57330,20716,38385,15017
4000,31.29,37.93,22893.34,57330,23992,23951,12406,2833,3615,10468,5871,57330,21796,45486,15884
5000,31.3,37.96,23273.62,57330,26398,24572,12574,1915,3027,7983,5149,57330,22494,50319,17300
6001,31.32,37.98,23811.1,57330,28907,24930,12676,1712,2870,5603,4397,57330,23679,55331,19705
7001,31.33,37.99,24504.47,57330,30511,24048,12484,1671,2814,4268,3735,57330,24864,57330,22250
8001,31.34,37.99,25194.11,57330,32846,22228,11629,1685,2759,3441,3118,57330,26014,57330,23992
9001,31.34,37.98,25780.72,57330,34101,19237,10852,1667,2701,2543,2851,57330,27827,57330,25700
