timestamp,BME680_temp,BME680_pressure,BME680_humidity,BME680_gas,SGP30_5_CO2,SGP30_5_TVOC,SGP30_6_CO2,SGP30_6_TVOC,SGP30_7_CO2,SGP30_7_TVOC,SGP30_8_CO2,SGP30_8_TVOC,SGP30_9_CO2,SGP30_9_TVOC,SGP30_10_CO2,SGP30_10_TVOC
0,33.16,1012.65,35.16,142479.31,405,9,409,19,400,11,403,36,406,24,404,5
1000,33.16,1012.65,35.16,142118.0,408,10,408,14,411,10,408,41,405,26,406,1
2000,33.16,1012.65,35.16,142842.47,410,7,405,13,406,17,407,34,404,21,405,7
3000,33.16,1012.65,35.15,143329.57,410,5,407,6,403,22,411,36,401,18,406,12
4000,33.16,1012.67,35.15,142358.67,401,14,406,10,411,17,410,36,400,12,405,9
5000,33.16,1012.66,35.15,142721.21,400,6,413,14,400,15,406,36,409,21,400,8
6001,33.16,1012.67,35.15,143207.49,402,10,405,15,405,16,407,35,409,30,400,7
7001,33.16,1012.66,35.14,143085.61,411,13,403,18,401,13,407,33,404,20,400,7
8001,33.16,1012.65,35.13,144561.98,410,7,400,10,406,12,407,33,405,21,409,6
9001,33.16,1012.66,35.13,143451.87,406,7,400,18,403,12,407,31,404,21,401,6
