timestamp,BME680_temp,BME680_pressure,BME680_humidity,BME680_gas,SGP30_5_CO2,SGP30_5_TVOC,SGP30_6_CO2,SGP30_6_TVOC,SGP30_7_CO2,SGP30_7_TVOC,SGP30_8_CO2,SGP30_8_TVOC,SGP30_9_CO2,SGP30_9_TVOC,SGP30_10_CO2,SGP30_10_TVOC
0,33.21,1025.02,30.95,66283.3,4190,4939,8771,8725,2862,4402,400,195,1170,2228,2021,3061
1000,33.21,1025.02,30.96,65406.57,4221,4964,8678,8972,2769,4422,400,179,972,2138,2170,3274
2000,33.21,1025.01,30.96,64404.36,4064,4873,8597,8804,2700,4342,400,174,828,2060,2354,3324
3000,33.22,1025.03,30.95,63817.65,3743,4653,8412,8725,2673,4332,400,178,812,2060,2445,3354
4000,33.22,1025.03,30.96,63051.79,3257,4302,8336,8826,2747,4387,400,193,859,2099,2465,3409
5000,33.22,1025.02,30.95,62442.93,2806,3981,8128,8443,2955,4492,400,215,1037,2221,2482,3364
6001,33.22,1025.02,30.95,61664.26,2565,3805,7908,8500,3127,4638,400,249,1202,2309,2413,3484
7001,33.22,1025.02,30.95,60510.2,2612,3956,7717,8455,3134,4552,400,279,1355,2387,2295,3344
8001,33.23,1025.02,30.95,59147.79,2862,4141,7607,8151,2538,4161,400,324,1450,2464,2244,3329
9001,33.23,1025.01,30.98,57647.05,3279,4422,7891,8387,1842,3585,400,337,1523,2482,2209,3299
