timestamp,BME680_temp,BME680_humidity,BME680_gas,SGP30_5_CO2,SGP30_5_TVOC,SGP30_6_CO2,SGP30_6_TVOC,SGP30_7_CO2,SGP30_7_TVOC,SGP30_8_CO2,SGP30_8_TVOC,SGP30_9_CO2,SGP30_9_TVOC,SGP30_10_CO2,SGP30_10_TVOC
0,31.95,36.06,26329.24,19885,28175,38594,45778,30270,33404,40115,32428,849,4196,1751,6428
1000,31.95,36.04,28049.38,21925,30162,42353,47103,37490,37587,39578,31975,868,4392,2024,6739
2000,31.95,35.98,29608.75,22435,30894,44203,47695,43397,40619,39459,32567,1020,4593,2501,6980
3000,31.96,35.94,30959.53,22063,29988,43397,47277,47842,42362,39399,31522,959,4347,3164,7689
4000,31.96,35.88,32068.58,21305,29465,41428,46371,52377,44837,37758,31522,594,3274,3743,8286
5001,31.96,35.85,33025.09,20822,29116,39071,45499,57330,47939,34238,29988,414,2925,3237,7363
6001,31.96,35.81,34234.29,20988,29360,38206,45465,57330,52018,30747,28977,425,2930,3132,7441
7001,31.96,35.75,35991.37,21649,30720,38146,45499,57330,53795,29434,27618,505,3015,3399,7712
8001,31.96,35.7,37565.97,22283,30894,38773,45674,57330,54144,27976,27130,739,3700,3890,8533
9001,31.97,35.63,39138.48,22986,30824,39190,45953,57330,52575,25330,23923,1310,4673,4258,9006
