timestamp,BME680_temp,BME680_pressure,BME680_humidity,BME680_gas,SGP30_5_CO2,SGP30_5_TVOC,SGP30_6_CO2,SGP30_6_TVOC,SGP30_7_CO2,SGP30_7_TVOC,SGP30_8_CO2,SGP30_8_TVOC,SGP30_9_CO2,SGP30_9_TVOC,SGP30_10_CO2,SGP30_10_TVOC
0,33.53,1024.97,29.76,70038.57,1742,3544,1995,4813,753,2136,400,28,400,705,513,1926
1000,33.53,1024.97,29.76,69863.95,1836,3600,2001,4964,777,2161,400,25,400,628,478,1891
2000,33.53,1024.97,29.76,70096.98,1856,3580,2039,4974,780,2189,400,16,400,562,418,1794
3000,33.53,1024.97,29.75,70686.4,1847,3585,2087,5014,752,2193,400,10,400,538,400,1693
4000,33.54,1024.97,29.74,71650.37,1780,3575,2168,4959,707,2170,400,8,400,494,400,1561
5000,33.54,1024.97,29.73,72578.29,1678,3389,2126,5019,605,2020,400,17,400,463,400,1506
6001,33.54,1024.97,29.72,73146.67,1536,3218,2096,5019,501,1905,400,13,400,430,400,1434
7001,33.54,1024.97,29.7,73466.29,1348,2983,2016,5004,444,1873,400,11,400,410,400,1457
8001,33.54,1024.97,29.71,73402.14,1150,2900,1941,4883,424,1847,400,12,400,371,400,1420
9001,33.54,1024.97,29.69,73530.55,1034,2861,1907,4843,440,1882,400,9,400,333,400,1427
