timestamp,BME680_temp,BME680_humidity,BME680_gas,SGP30_5_CO2,SGP30_5_TVOC,SGP30_6_CO2,SGP30_6_TVOC,SGP30_7_CO2,SGP30_7_TVOC,SGP30_8_CO2,SGP30_8_TVOC,SGP30_9_CO2,SGP30_9_TVOC,SGP30_10_CO2,SGP30_10_TVOC
0,31.14,36.05,37734.42,3385,6142,400,2757,400,1411,2482,4031,4450,6243,3907,7115
1000,31.14,36.02,38248.98,3085,5851,400,2671,400,1688,2972,4452,4646,6328,3691,6895
2000,31.15,35.98,38529.18,2891,5701,400,2531,400,1916,3139,4562,4852,6584,3392,6779
3000,31.15,35.97,38635.32,2585,5586,400,2434,400,2152,3053,4698,5122,6664,3166,6599
4000,31.15,35.96,38742.05,2438,5405,400,2394,453,2281,2678,4387,5394,6799,2965,6604
5001,31.16,35.94,38706.41,2236,5305,400,2374,482,2293,2339,4111,5302,6734,2754,6453
6001,31.16,35.92,38458.75,2084,5184,400,2422,520,2390,2307,4191,5041,6694,2653,6343
7001,31.17,35.91,38179.56,2021,5184,400,2510,570,2457,2438,4317,4837,6574,2609,6403
8001,31.17,35.89,38007.12,1990,5089,424,2681,615,2567,2514,4372,4670,6609,2720,6423
9001,31.18,35.88,37599.54,1986,5064,546,2801,655,2639,2460,4392,4415,6348,2803,6413
