timestamp,BME680_temp,BME680_pressure,BME680_humidity,BME680_gas,SGP30_5_CO2,SGP30_5_TVOC,SGP30_6_CO2,SGP30_6_TVOC,SGP30_7_CO2,SGP30_7_TVOC,SGP30_8_CO2,SGP30_8_TVOC,SGP30_9_CO2,SGP30_9_TVOC,SGP30_10_CO2,SGP30_10_TVOC
0,32.16,1005.11,38.88,120175.62,400,1,407,9,400,8,400,19,400,7,406,21
1000,32.17,1005.11,38.88,122184.37,400,3,400,4,400,3,400,19,400,3,400,14
2000,32.19,1005.12,38.89,122898.89,408,8,400,7,400,3,400,11,400,9,400,19
3000,32.2,1005.1,38.9,124722.31,405,8,400,6,400,5,400,22,400,6,400,20
4000,32.22,1005.11,38.86,125842.57,407,6,400,1,405,6,400,18,400,4,400,14
5000,32.23,1005.12,38.82,127464.49,404,13,401,5,400,5,400,21,400,1,400,15
6001,32.24,1005.11,38.8,127949.51,407,16,400,7,404,4,400,11,400,2,400,14
7001,32.25,1005.11,38.84,128536.43,406,5,400,6,407,9,400,10,400,7,400,10
8001,32.26,1005.09,38.88,129726.58,404,10,404,4,403,4,400,5,400,0,400,10
9001,32.27,1005.09,38.9,131041.03,400,10,408,6,404,8,400,9,400,1,400,5
