timestamp,BME680_temp,BME680_humidity,BME680_gas,SGP30_5_CO2,SGP30_5_TVOC,SGP30_6_CO2,SGP30_6_TVOC,SGP30_7_CO2,SGP30_7_TVOC,SGP30_8_CO2,SGP30_8_TVOC,SGP30_9_CO2,SGP30_9_TVOC,SGP30_10_CO2,SGP30_10_TVOC
0,30.76,37.56,20523.57,448,1845,2063,5074,4126,7306,725,2304,3883,5189,400,2177
1000,30.76,37.48,21206.98,445,1829,2492,5500,3812,7020,423,1847,3674,5044,423,2272
2000,30.77,37.38,22122.21,519,1940,2933,5791,4580,8500,400,1542,3291,4788,572,2378
3000,30.78,37.31,22794.02,618,2057,3230,5982,6275,10019,400,1487,2982,4648,631,2471
4000,30.79,37.23,23757.32,727,2224,3147,6047,7584,10717,400,1799,2717,4457,722,2609
5000,30.8,37.17,24619.18,830,2350,3019,6022,7670,10953,674,2087,2609,4377,1023,2886
6001,30.82,37.09,25407.1,970,2586,2869,5871,7479,10897,799,2302,2408,4312,1557,3534
7001,30.83,37.05,26263.5,1167,2718,2813,5912,7925,11269,804,2281,2077,4051,1991,4287
8001,30.84,36.98,26901.6,1342,2893,2776,5886,8047,11404,830,2339,1944,3835,2469,4828
9001,30.86,36.94,27571.49,1430,2941,2668,5756,8053,11449,1040,2464,1902,3830,2796,5260
