timestamp,BME680_temp,BME680_humidity,BME680_gas,SGP30_5_CO2,SGP30_5_TVOC,SGP30_6_CO2,SGP30_6_TVOC,SGP30_7_CO2,SGP30_7_TVOC,SGP30_8_CO2,SGP30_8_TVOC,SGP30_9_CO2,SGP30_9_TVOC,SGP30_10_CO2,SGP30_10_TVOC
0,32.5,35.14,31305.06,28059,29082,14675,13756,8255,8038,4953,6553,27094,25387,26708,25038
1000,32.5,35.14,31235.34,27521,28768,15943,13981,8748,8353,4675,6333,26763,26014,26488,24620
2000,32.5,35.12,31351.71,25936,26920,17900,14511,9321,8882,4329,6052,26433,25247,25895,24550
3000,32.5,35.13,31281.78,22876,23818,19789,15220,9842,9175,4052,5907,26171,24585,25385,24027
4000,32.5,35.13,31328.37,20492,21762,20891,15490,10329,9659,3763,5591,26060,24968,24530,23261
5000,32.5,35.14,31445.44,21043,22807,21153,15569,10584,9985,3395,5380,25633,24027,23014,21518
6001,32.5,35.12,31468.95,23028,25178,21773,16019,10838,10154,3424,5480,20478,18346,20395,19670
7001,32.5,35.13,31682.22,24420,26049,21842,15985,11180,10368,4143,5987,11342,14072,21374,21239
8001,32.51,35.12,31753.95,25095,26258,21429,15918,10983,10177,4995,6523,10943,14162,24599,23888
9001,32.51,35.12,31922.6,24847,26398,21002,15569,10873,10244,5875,6849,12910,15355,26446,25631
