timestamp,BME680_temp,BME680_humidity,BME680_gas,SGP30_5_CO2,SGP30_5_TVOC,SGP30_6_CO2,SGP30_6_TVOC,SGP30_7_CO2,SGP30_7_TVOC,SGP30_8_CO2,SGP30_8_TVOC,SGP30_9_CO2,SGP30_9_TVOC,SGP30_10_CO2,SGP30_10_TVOC
0,31.34,35.38,37734.42,1006,3690,1244,4517,1814,5440,2054,3991,1624,4041,1916,5912
1000,31.34,35.38,37633.17,1138,3885,1332,4683,1767,5390,1776,3630,1554,3850,1911,5891
2000,31.35,35.38,37700.61,1285,4006,1396,4858,1762,5340,1328,3013,1456,3705,1893,5891
3000,31.35,35.38,37734.42,1441,4342,1458,4768,1809,5405,865,2731,1402,3595,1911,5826
4000,31.35,35.37,37734.42,1562,4487,1519,5019,1744,5300,664,2489,1404,3735,1926,5856
5000,31.35,35.37,37700.61,1637,4497,1554,4999,1537,5044,502,2348,1410,3675,1944,5886
6001,31.36,35.36,37768.29,1653,4593,1581,5054,1530,4989,400,2184,1415,3690,1958,5912
7001,31.36,35.36,37870.28,1673,4532,1583,5009,1594,5129,400,2048,1417,3635,1959,5972
8001,31.36,35.34,38144.95,1706,4588,1557,4989,1345,4708,400,1780,1444,3685,1984,5942
9001,31.37,35.33,38353.58,1744,4723,1581,5039,716,3605,400,1559,1444,3680,2016,6077
