timestamp,BME680_temp,BME680_humidity,BME680_gas,SGP30_5_CO2,SGP30_5_TVOC,SGP30_6_CO2,SGP30_6_TVOC,SGP30_7_CO2,SGP30_7_TVOC,SGP30_8_CO2,SGP30_8_TVOC,SGP30_9_CO2,SGP30_9_TVOC,SGP30_10_CO2,SGP30_10_TVOC
0,31.21,37.08,42584.84,33044,31103,57330,50379,3684,6323,400,1496,11087,9772,44919,31591
1000,31.22,37.06,42932.46,34088,32149,55033,48288,3147,5897,400,1416,12138,10413,46918,32358
2000,31.22,37.05,42714.53,38236,33962,50617,46127,2089,5260,400,1335,14247,11111,50319,34241
3000,31.23,37.04,41864.5,42472,35948,47335,44140,1782,4848,400,1293,15860,11494,53064,35600
4000,31.23,37.06,40572.65,45187,37064,46351,44314,1909,5024,400,1329,15943,11663,54526,36193
5000,31.23,37.1,39468.91,47842,38737,47335,44733,3196,5917,472,1538,14854,11393,53422,36367
6001,31.24,37.13,38670.83,51453,39748,48767,45709,4577,6704,673,1753,14247,11156,51393,35530
7001,31.24,37.18,38564.5,54078,42606,49394,45674,4587,6614,798,1928,14123,11404,49424,34380
8001,31.25,37.21,38849.37,57330,43582,50498,46266,5452,7025,998,2076,14302,11111,47305,33857
9001,31.25,37.22,39284.65,57330,44977,53004,47451,8823,9411,1140,2140,13613,10976,45784,33578
