timestamp,BME680_temp,BME680_pressure,BME680_humidity,BME680_gas,SGP30_5_CO2,SGP30_5_TVOC,SGP30_6_CO2,SGP30_6_TVOC,SGP30_7_CO2,SGP30_7_TVOC,SGP30_8_CO2,SGP30_8_TVOC,SGP30_9_CO2,SGP30_9_TVOC,SGP30_10_CO2,SGP30_10_TVOC
0,32.05,1013.83,33.02,109957.99,400,4,400,7,400,1,400,73,400,38,400,0
1000,32.06,1013.82,33.03,110974.1,400,2,400,8,400,1,400,68,400,30,400,0
2000,32.06,1013.84,33.03,110974.1,400,5,400,6,400,0,400,68,400,36,400,0
3000,32.07,1013.82,33.01,111711.46,400,3,400,5,400,6,400,71,400,37,400,0
4000,32.07,1013.82,32.98,112083.83,400,3,400,5,400,0,400,73,400,40,400,0
5000,32.08,1013.81,32.98,112383.52,400,0,400,0,400,4,400,78,400,34,400,0
6001,32.08,1013.79,32.95,114293.5,400,0,400,1,400,0,400,75,400,38,400,0
7001,32.09,1013.82,32.92,114683.31,400,0,400,0,400,4,400,77,400,31,400,0
8001,32.09,1013.81,32.9,115233.54,400,0,400,0,400,7,400,70,400,35,400,0
9001,32.1,1013.81,32.88,115550.33,400,0,400,0,400,0,400,69,400,35,400,0
